age,sex,strata,mortality per 1 rate,pYLD rate,APC in all-cause mortality,expenditure_rate,expenditure_rate_death,income,income_death
0,female,non-maori,0.000241151,0.000140535,-0.0274206,4534.005798,44266.75228,0,0
1,female,non-maori,0.000241151,0.000140535,-0.0274206,4534.005798,44266.75228,0,0
2,female,non-maori,0.000241151,0.000140535,-0.0274206,4534.005798,44266.75228,0,0
3,female,non-maori,0.000241151,0.000140535,-0.0274206,4534.005798,44266.75228,0,0
4,female,non-maori,0.000241151,0.000140535,-0.0274206,4534.005798,44266.75228,0,0
5,female,non-maori,8.39E-05,8.13E-05,-0.0146286,455.7995247,33421.74449,0,0
6,female,non-maori,8.39E-05,8.13E-05,-0.0146286,455.7995247,33421.74449,0,0
7,female,non-maori,8.39E-05,8.13E-05,-0.0146286,455.7995247,33421.74449,0,0
8,female,non-maori,8.39E-05,8.13E-05,-0.0146286,455.7995247,33421.74449,0,0
9,female,non-maori,8.39E-05,8.13E-05,-0.0146286,455.7995247,33421.74449,0,0
10,female,non-maori,9.54E-05,6.86E-05,-0.014068,438.0295627,27905.05979,0,0
11,female,non-maori,9.54E-05,6.86E-05,-0.014068,438.0295627,27905.05979,0,0
12,female,non-maori,9.54E-05,6.86E-05,-0.014068,438.0295627,27905.05979,0,0
13,female,non-maori,9.54E-05,6.86E-05,-0.014068,438.0295627,27905.05979,0,0
14,female,non-maori,9.54E-05,6.86E-05,-0.014068,438.0295627,27905.05979,0,0
15,female,non-maori,0.000281836,0.000228045,-0.0108034,685.9205323,14427.43213,0,0
16,female,non-maori,0.000281836,0.000228045,-0.0108034,685.9205323,14427.43213,0,0
17,female,non-maori,0.000281836,0.000228045,-0.0108034,685.9205323,14427.43213,0,0
18,female,non-maori,0.000281836,0.000228045,-0.0108034,685.9205323,14427.43213,0,0
19,female,non-maori,0.000281836,0.000228045,-0.0108034,685.9205323,14427.43213,0,0
20,female,non-maori,0.000366223,0.000266241,-0.0042936,886.7211027,23496.33222,0,0
21,female,non-maori,0.000366223,0.000266241,-0.0042936,886.7211027,23496.33222,0,0
22,female,non-maori,0.000366223,0.000266241,-0.0042936,886.7211027,23496.33222,0,0
