age,sex,strata,population
0,male,non-maori,22628
1,male,non-maori,22628
2,male,non-maori,22628
3,male,non-maori,22628
4,male,non-maori,22628
5,male,non-maori,24642
6,male,non-maori,24642
7,male,non-maori,24642
8,male,non-maori,24642
9,male,non-maori,24642
10,male,non-maori,24934
11,male,non-maori,24934
12,male,non-maori,24934
13,male,non-maori,24934
14,male,non-maori,24934
15,male,non-maori,24572
16,male,non-maori,24572
17,male,non-maori,24572
18,male,non-maori,24572
19,male,non-maori,24572
20,male,non-maori,27796
21,male,non-maori,27796
22,male,non-maori,27796
23,male,non-maori,27796
24,male,non-maori,27796
25,male,non-maori,32218
26,male,non-maori,32218
27,male,non-maori,32218
28,male,non-maori,32218
29,male,non-maori,32218
30,male,non-maori,31562
31,male,non-maori,31562
32,male,non-maori,31562
33,male,non-maori,31562
34,male,non-maori,31562
35,male,non-maori,28620
36,male,non-maori,28620
37,male,non-maori,28620
38,male,non-maori,28620
39,male,non-maori,28620
40,male,non-maori,26094
41,male,non-maori,26094
42,male,non-maori,26094
43,male,non-maori,26094
44,male,non-maori,26094
45,male,non-maori,27736
46,male,non-maori,27736
47,male,non-maori,27736
48,male,non-maori,27736
49,male,non-maori,27736
50,male,non-maori,27502
51,male,non-maori,27502
52,male,non-maori,27502
53,male,non-maori,27502
54,male,non-maori,27502
55,male,non-maori,27570
56,male,non-maori,27570
57,male,non-maori,27570
58,male,non-maori,27570
59,male,non-maori,27570
60,male,non-maori,25054
61,male,non-maori,25054
62,male,non-maori,25054
63,male,non-maori,25054
64,male,non-maori,25054
65,male,non-maori,21874
66,male,non-maori,21874
67,male,non-maori,21874
68,male,non-maori,21874
69,male,non-maori,21874
70,male,non-maori,19188
71,male,non-maori,19188
72,male,non-maori,19188
73,male,non-maori,19188
74,male,non-maori,19188
75,male,non-maori,13004
76,male,non-maori,13004
77,male,non-maori,13004
78,male,non-maori,13004
79,male,non-maori,13004
80,male,non-maori,8272
81,male,non-maori,8272
82,male,non-maori,8272
83,male,non-maori,8272
84,male,non-maori,8272
85,male,non-maori,4442
86,male,non-maori,4442
87,male,non-maori,4442
88,male,non-maori,4442
89,male,non-maori,4442
90,male,non-maori,1642.6
91,male,non-maori,1642.6
92,male,non-maori,1642.6
93,male,non-maori,1642.6
94,male,non-maori,1642.6
95,male,non-maori,438
96,male,non-maori,438
97,male,non-maori,438
98,male,non-maori,438
99,male,non-maori,438
100,male,non-maori,88
101,male,non-maori,88
102,male,non-maori,88
103,male,non-maori,88
104,male,non-maori,88
105,male,non-maori,22
106,male,non-maori,22
107,male,non-maori,22
108,male,non-maori,22
109,male,non-maori,22
0,male,maori,8774
1,male,maori,8774
2,male,maori,8774
3,male,maori,8774
4,male,maori,8774
5,male,maori,9068
6,male,maori,9068
7,male,maori,9068
8,male,maori,9068
9,male,maori,9068
10,male,maori,9190
11,male,maori,9190
12,male,maori,9190
13,male,maori,9190
14,male,maori,9190
15,male,maori,8018
16,male,maori,8018
17,male,maori,8018
18,male,maori,8018
19,male,maori,8018
20,male,maori,7336
21,male,maori,7336
22,male,maori,7336
23,male,maori,7336
24,male,maori,7336
25,male,maori,6860
26,male,maori,6860
27,male,maori,6860
28,male,maori,6860
29,male,maori,6860
30,male,maori,5680
31,male,maori,5680
32,male,maori,5680
33,male,maori,5680
34,male,maori,5680
35,male,maori,4562
36,male,maori,4562
37,male,maori,4562
38,male,maori,4562
39,male,maori,4562
40,male,maori,4396
41,male,maori,4396
42,male,maori,4396
43,male,maori,4396
44,male,maori,4396
45,male,maori,4642
46,male,maori,4642
47,male,maori,4642
48,male,maori,4642
49,male,maori,4642
50,male,maori,4370
51,male,maori,4370
52,male,maori,4370
53,male,maori,4370
54,male,maori,4370
55,male,maori,4000
56,male,maori,4000
57,male,maori,4000
58,male,maori,4000
59,male,maori,4000
60,male,maori,3098
61,male,maori,3098
62,male,maori,3098
63,male,maori,3098
64,male,maori,3098
65,male,maori,2192
66,male,maori,2192
67,male,maori,2192
68,male,maori,2192
69,male,maori,2192
70,male,maori,1454
71,male,maori,1454
72,male,maori,1454
73,male,maori,1454
74,male,maori,1454
75,male,maori,838
76,male,maori,838
77,male,maori,838
78,male,maori,838
79,male,maori,838
80,male,maori,440
81,male,maori,440
82,male,maori,440
83,male,maori,440
84,male,maori,440
85,male,maori,168
86,male,maori,168
87,male,maori,168
88,male,maori,168
89,male,maori,168
90,male,maori,47
91,male,maori,47
92,male,maori,47
93,male,maori,47
94,male,maori,47
95,male,maori,12
96,male,maori,12
97,male,maori,12
98,male,maori,12
99,male,maori,12
100,male,maori,2
101,male,maori,2
102,male,maori,2
103,male,maori,2
104,male,maori,2
105,male,maori,1
106,male,maori,1
107,male,maori,1
108,male,maori,1
109,male,maori,1
0,female,non-maori,21548
1,female,non-maori,21548
2,female,non-maori,21548
3,female,non-maori,21548
4,female,non-maori,21548
5,female,non-maori,23460
6,female,non-maori,23460
7,female,non-maori,23460
8,female,non-maori,23460
9,female,non-maori,23460
10,female,non-maori,23630
11,female,non-maori,23630
12,female,non-maori,23630
13,female,non-maori,23630
14,female,non-maori,23630
15,female,non-maori,23292
16,female,non-maori,23292
17,female,non-maori,23292
18,female,non-maori,23292
19,female,non-maori,23292
20,female,non-maori,25646
21,female,non-maori,25646
22,female,non-maori,25646
23,female,non-maori,25646
24,female,non-maori,25646
25,female,non-maori,30636
26,female,non-maori,30636
27,female,non-maori,30636
28,female,non-maori,30636
29,female,non-maori,30636
30,female,non-maori,31464
31,female,non-maori,31464
32,female,non-maori,31464
33,female,non-maori,31464
34,female,non-maori,31464
35,female,non-maori,28838
36,female,non-maori,28838
37,female,non-maori,28838
38,female,non-maori,28838
39,female,non-maori,28838
40,female,non-maori,26488
41,female,non-maori,26488
42,female,non-maori,26488
43,female,non-maori,26488
44,female,non-maori,26488
45,female,non-maori,28848
46,female,non-maori,28848
47,female,non-maori,28848
48,female,non-maori,28848
49,female,non-maori,28848
50,female,non-maori,28726
51,female,non-maori,28726
52,female,non-maori,28726
53,female,non-maori,28726
54,female,non-maori,28726
55,female,non-maori,29176
56,female,non-maori,29176
57,female,non-maori,29176
58,female,non-maori,29176
59,female,non-maori,29176
60,female,non-maori,26496
61,female,non-maori,26496
62,female,non-maori,26496
63,female,non-maori,26496
64,female,non-maori,26496
65,female,non-maori,23024
66,female,non-maori,23024
67,female,non-maori,23024
68,female,non-maori,23024
69,female,non-maori,23024
70,female,non-maori,20212
71,female,non-maori,20212
72,female,non-maori,20212
73,female,non-maori,20212
74,female,non-maori,20212
75,female,non-maori,14444
76,female,non-maori,14444
77,female,non-maori,14444
78,female,non-maori,14444
79,female,non-maori,14444
80,female,non-maori,10098
81,female,non-maori,10098
82,female,non-maori,10098
83,female,non-maori,10098
84,female,non-maori,10098
85,female,non-maori,6194
86,female,non-maori,6194
87,female,non-maori,6194
88,female,non-maori,6194
89,female,non-maori,6194
90,female,non-maori,3175.4
91,female,non-maori,3175.4
92,female,non-maori,3175.4
93,female,non-maori,3175.4
94,female,non-maori,3175.4
95,female,non-maori,846.8
96,female,non-maori,846.8
97,female,non-maori,846.8
98,female,non-maori,846.8
99,female,non-maori,846.8
100,female,non-maori,169.2
101,female,non-maori,169.2
102,female,non-maori,169.2
103,female,non-maori,169.2
104,female,non-maori,42.2
105,female,non-maori,42.2
106,female,non-maori,42.2
107,female,non-maori,42.2
108,female,non-maori,42.2
109,female,non-maori,42.2
0,female,maori,8238
1,female,maori,8238
2,female,maori,8238
3,female,maori,8238
4,female,maori,8238
5,female,maori,8518
6,female,maori,8518
7,female,maori,8518
8,female,maori,8518
9,female,maori,8518
10,female,maori,8612
11,female,maori,8612
12,female,maori,8612
13,female,maori,8612
14,female,maori,8612
15,female,maori,7612
16,female,maori,7612
17,female,maori,7612
18,female,maori,7612
19,female,maori,7612
20,female,maori,7038
21,female,maori,7038
22,female,maori,7038
23,female,maori,7038
24,female,maori,7038
25,female,maori,6776
26,female,maori,6776
27,female,maori,6776
28,female,maori,6776
29,female,maori,6776
30,female,maori,5984
31,female,maori,5984
32,female,maori,5984
33,female,maori,5984
34,female,maori,5984
35,female,maori,4876
36,female,maori,4876
37,female,maori,4876
38,female,maori,4876
39,female,maori,4876
40,female,maori,4646
41,female,maori,4646
42,female,maori,4646
43,female,maori,4646
44,female,maori,4646
45,female,maori,4950
46,female,maori,4950
47,female,maori,4950
48,female,maori,4950
49,female,maori,4950
50,female,maori,4626
51,female,maori,4626
52,female,maori,4626
53,female,maori,4626
54,female,maori,4626
55,female,maori,4390
56,female,maori,4390
57,female,maori,4390
58,female,maori,4390
59,female,maori,4390
60,female,maori,3444
61,female,maori,3444
62,female,maori,3444
63,female,maori,3444
64,female,maori,3444
65,female,maori,2442
66,female,maori,2442
67,female,maori,2442
68,female,maori,2442
69,female,maori,2442
70,female,maori,1650
71,female,maori,1650
72,female,maori,1650
73,female,maori,1650
74,female,maori,1650
75,female,maori,980
76,female,maori,980
77,female,maori,980
78,female,maori,980
79,female,maori,980
80,female,maori,602
81,female,maori,602
82,female,maori,602
83,female,maori,602
84,female,maori,602
85,female,maori,278
86,female,maori,278
87,female,maori,278
88,female,maori,278
89,female,maori,278
90,female,maori,96
91,female,maori,96
92,female,maori,96
93,female,maori,96
94,female,maori,96
95,female,maori,25.6
96,female,maori,25.6
97,female,maori,25.6
98,female,maori,25.6
99,female,maori,25.6
100,female,maori,5
101,female,maori,5
102,female,maori,5
103,female,maori,5
104,female,maori,5
105,female,maori,1
106,female,maori,1
107,female,maori,1
108,female,maori,1
109,female,maori,1
