year_start,year_end,agecategory,sex,strata,cscv,qsqv_1,qscv_1
0,1,0,female,maori,0.008,0.0086,0.0126
0,1,5,female,maori,0.008,0.0086,0.0126
0,1,10,female,maori,0.008,0.0086,0.0126
0,1,15,female,maori,0.008,0.0086,0.0126
0,1,20,female,maori,0.008,0.0086,0.0126
0,1,25,female,maori,0.008,0.0086,0.0126
0,1,30,female,maori,0.008,0.0086,0.0126
0,1,35,female,maori,0.008,0.0086,0.0126
0,1,40,female,maori,0.008,0.0087,0.0127
0,1,45,female,maori,0.0491254476564598,0.0152327952329543,0.0152327952329543
0,1,50,female,maori,0.0482661921489513,0.0159258981161979,0.0159258981161979
0,1,55,female,maori,0.0465925060911898,0.0174808467838328,0.0174808467838328
0,1,60,female,maori,0.0449768570339711,0.0192048691216781,0.0192048691216781
0,1,65,female,maori,0.0222080401672611,0.0250275955727903,0.0250275955727903
0,1,70,female,maori,0.0246598524035342,0.0271376379862121,0.0271376379862121
0,1,75,female,maori,0.028854319130357,0.030297193796257005,0.030297193796257005
0,1,80,female,maori,0.0328897921606931,0.0328564297643471,0.0328564297643471
0,1,85,female,maori,0.0384841135139861,0.0358511901113978,0.0358511901113978
0,1,90,female,maori,0.0450299894180345,0.0387143276445773,0.0387143276445773
0,1,95,female,maori,0.0513277400955621,0.0410661260402892,0.0410661260402892
0,1,100,female,maori,0.0616513457148453,0.0432860265191893,0.0432860265191893
0,1,105,female,maori,0.0616513457148453,0.0432860265191893,0.0432860265191893
0,1,0,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,5,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,10,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,15,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,20,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,25,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,30,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,35,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,40,female,non-maori,0.022000000000000002,0.0118,0.0118
0,1,45,female,non-maori,0.0515222287990793,0.0137045391446993,0.0137045391446993
0,1,50,female,non-maori,0.052562708226836,0.0140835669427912,0.0140835669427912
0,1,55,female,non-maori,0.0547071281398089,0.0149484778430648,0.0149484778430648
