year_start,year_end,agecategory,sex,strata,cs,qsqv_1,qscv_1
0,1,0,female,maori,0.145,0.0503,0.0608
0,1,5,female,maori,0.145,0.0503,0.0608
0,1,10,female,maori,0.145,0.0503,0.0608
0,1,15,female,maori,0.145,0.0503,0.0608
0,1,20,female,maori,0.145,0.0503,0.0608
0,1,25,female,maori,0.145,0.0503,0.0608
0,1,30,female,maori,0.145,0.0503,0.0608
0,1,35,female,maori,0.145,0.0503,0.0608
0,1,40,female,maori,0.1293,0.0506,0.0612
0,1,45,female,maori,0.845951401950003,0.06093118093181701,0.0731174171181804
0,1,50,female,maori,0.839852096577458,0.0637035924647918,0.0764443109577501
0,1,55,female,maori,0.826168548302271,0.0699233871353312,0.0839080645623974
0,1,60,female,maori,0.810997151729232,0.0768194764867125,0.0921833717840549
0,1,65,female,maori,0.37775325813016,0.100110382291161,0.12013245874939399
0,1,70,female,maori,0.460499407392344,0.10855055194484901,0.130260662333818
0,1,75,female,maori,0.626021990939112,0.12118877518502802,0.145426530222034
0,1,80,female,maori,0.690863418073745,0.131425719057388,0.157710862868866
0,1,85,female,maori,0.6645095270197,0.143404760445591,0.172085712534709
0,1,90,female,maori,0.63931391672772,0.154857310578309,0.18582877269397102
0,1,95,female,maori,0.6186180908454549,0.16426450416115698,0.19711740499338798
0,1,100,female,maori,0.599082966631134,0.17314410607675698,0.20777292729210897
0,1,105,female,maori,0.599082966631134,0.17314410607675698,0.20777292729210897
0,1,0,female,non-maori,0.0546,0.0473,0.0568
0,1,5,female,non-maori,0.0546,0.0473,0.0568
0,1,10,female,non-maori,0.0546,0.0473,0.0568
0,1,15,female,non-maori,0.0546,0.0473,0.0568
0,1,20,female,non-maori,0.0546,0.0473,0.0568
0,1,25,female,non-maori,0.0546,0.0473,0.0568
0,1,30,female,non-maori,0.0546,0.0473,0.0568
0,1,35,female,non-maori,0.0546,0.0473,0.0568
0,1,40,female,non-maori,0.0546,0.0473,0.0568
0,1,45,female,non-maori,0.18320725017812603,0.0548181565787971,0.0657817878945565
0,1,50,female,non-maori,0.18253044916771102,0.0563342677711648,0.0676011213253978
0,1,55,female,non-maori,0.184875148383387,0.0597939113722592,0.0717526936467111
0,1,60,female,non-maori,0.19130507372325,0.0637042191185834,0.0764450629423001
0,1,65,female,non-maori,0.0603307060946736,0.0839188044737546,0.10070256536850501
0,1,70,female,non-maori,0.07619345155617599,0.0868071003811842,0.10416852045742098
0,1,75,female,non-maori,0.14083211728247,0.0960518038859229,0.11526216466310699
0,1,80,female,non-maori,0.203599443589468,0.10266384190456401,0.12319661028547699
0,1,85,female,non-maori,0.3432892308362439,0.11349060981053999,0.136188731772648
0,1,90,female,non-maori,0.690399466238604,0.13163660625518,0.157963927506216
0,1,95,female,non-maori,0.690399466238604,0.13163660625518,0.157963927506216
0,1,100,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
0,1,105,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
0,1,0,male,maori,0.2357,0.0805,0.0974
0,1,5,male,maori,0.2357,0.0805,0.0974
0,1,10,male,maori,0.2357,0.0805,0.0974
0,1,15,male,maori,0.2357,0.0805,0.0974
0,1,20,male,maori,0.2357,0.0805,0.0974
