year,age,sex,strata,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
0,2,male,non-maori,0,0,0,0,0,0
1,2,male,non-maori,0,0,0,0,0,0
2,2,male,non-maori,0,0,0,0,0,0
3,2,male,non-maori,0,0,0,0,0,0
4,2,male,non-maori,0.138,0.012657206,0.154,0.138,0.012657206,0.154
5,2,male,non-maori,0.138,0.014664973,0.154,0.138,0.014664973,0.154
6,2,male,non-maori,0.138,0.016692285,0.154,0.138,0.016692285,0.154
7,2,male,non-maori,0.138,0.018738991,0.154,0.138,0.018738991,0.154
8,2,male,non-maori,0.138,0.020804204,0.154,0.138,0.020804204,0.154
9,2,male,non-maori,0.155,0.022886391,0.109,0.155,0.022886391,0.109
10,2,male,non-maori,0.155,0.024983493,0.109,0.155,0.024983493,0.109
11,2,male,non-maori,0.155,0.027093071,0.109,0.155,0.027093071,0.109
12,2,male,non-maori,0.155,0.02921246,0.109,0.155,0.02921246,0.109
13,2,male,non-maori,0.155,0.031338923,0.109,0.155,0.031338923,0.109
14,2,male,non-maori,0.155,0.033469791,0.109,0.155,0.033469791,0.109
15,2,male,non-maori,0.155,0.035602594,0.109,0.155,0.035602594,0.109
16,2,male,non-maori,0.155,0.037735146,0.109,0.155,0.037735146,0.109
17,2,male,non-maori,0.155,0.039865618,0.109,0.155,0.039865618,0.109
18,2,male,non-maori,0.155,0.041992565,0.109,0.155,0.041992565,0.109
19,2,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
20,2,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
0,2,male,maori,0,0,0,0,0,0
1,2,male,maori,0,0,0,0,0,0
2,2,male,maori,0,0,0,0,0,0
3,2,male,maori,0.138,0.019707788,0.154,0.138,0.019707788,0.154
4,2,male,maori,0.138,0.020902962,0.154,0.138,0.020902962,0.154
5,2,male,maori,0.138,0.02210758,0.154,0.138,0.02210758,0.154
6,2,male,maori,0.138,0.023321433,0.154,0.138,0.023321433,0.154
7,2,male,maori,0.138,0.024544032,0.154,0.138,0.024544032,0.154
8,2,male,maori,0.155,0.025774635,0.109,0.155,0.025774635,0.109
9,2,male,maori,0.155,0.027012286,0.109,0.155,0.027012286,0.109
10,2,male,maori,0.155,0.028255864,0.109,0.155,0.028255864,0.109
11,2,male,maori,0.155,0.029504135,0.109,0.155,0.029504135,0.109
12,2,male,maori,0.155,0.030755815,0.109,0.155,0.030755815,0.109
13,2,male,maori,0.155,0.03200962,0.109,0.155,0.03200962,0.109
14,2,male,maori,0.155,0.033264318,0.109,0.155,0.033264318,0.109
15,2,male,maori,0.155,0.034518776,0.109,0.155,0.034518776,0.109
16,2,male,maori,0.155,0.035771992,0.109,0.155,0.035771992,0.109
17,2,male,maori,0.155,0.037023125,0.109,0.155,0.037023125,0.109
18,2,male,maori,0.155,0.038271502,0.109,0.155,0.038271502,0.109
19,2,male,maori,0,0,0,0,0,0
20,2,male,maori,0,0,0,0,0,0
0,2,female,non-maori,0,0,0,0,0,0
1,2,female,non-maori,0,0,0,0,0,0
2,2,female,non-maori,0.138,0.012717467,0.154,0.138,0.012717467,0.154
3,2,female,non-maori,0.138,0.019217543,0.154,0.138,0.019217543,0.154
4,2,female,non-maori,0.138,0.025781239,0.154,0.138,0.025781239,0.154
5,2,female,non-maori,0.138,0.032415183,0.154,0.138,0.032415183,0.154
6,2,female,non-maori,0.138,0.039117096,0.154,0.138,0.039117096,0.154
