year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
0,0.4247,0.0485,0.0586,0.0121,0.0083,0.1946,0.01
1,0.4154,0.0481,0.0582,0.012,0.0083,0.1956,0.0104
2,0.4063,0.0478,0.0578,0.012,0.0082,0.1969,0.0108
3,0.3974,0.0475,0.0574,0.0119,0.0081,0.1985,0.0112
4,0.3887,0.0472,0.0571,0.0118,0.0081,0.1458,0.0116
5,0.3794,0.0512,0.0619,0.0128,0.0088,0.1935,0.012
6,0.3703,0.0509,0.0615,0.0127,0.0087,0.1952,0.0125
7,0.3614,0.0506,0.0612,0.0126,0.0087,0.1971,0.0129
8,0.3527,0.0503,0.0608,0.0126,0.0086,0.1993,0.0134
9,0.3442,0.0499,0.0604,0.0125,0.0086,0.1466,0.0139
10,0.3351,0.0546,0.066,0.0136,0.0094,0.1938,0.0144
11,0.3263,0.0543,0.0656,0.0136,0.0093,0.1958,0.0149
12,0.3176,0.0539,0.0652,0.0135,0.0093,0.1979,0.0155
13,0.3092,0.0536,0.0648,0.0134,0.0092,0.2002,0.0161
14,0.3011,0.0533,0.0644,0.0133,0.0091,0.1463,0.0167
15,0.2922,0.0587,0.071,0.0147,0.0101,0.1931,0.0173
16,0.2837,0.0583,0.0705,0.0146,0.01,0.195,0.0179
17,0.2753,0.0579,0.07,0.0145,0.0099,0.1969,0.0186
18,0.2673,0.0575,0.0696,0.0144,0.0099,0.199,0.0193
19,0.2594,0.0571,0.0691,0.0143,0.0098,0.1444,0.02
20,0.2509,0.0633,0.0765,0.0158,0.0109,0.1896,0.0208
21,0.2427,0.0629,0.076,0.0157,0.0108,0.1911,0.0215
22,0.2348,0.0625,0.0756,0.0156,0.0107,0.1927,0.0223
23,0.2271,0.0621,0.0751,0.0155,0.0106,0.1943,0.0232
24,0.2197,0.0616,0.0746,0.0154,0.0106,0.1399,0.024
25,0.2116,0.0685,0.0829,0.0171,0.0118,0.1822,0.0249
26,0.2039,0.068,0.0822,0.017,0.0117,0.1828,0.0258
27,0.1964,0.0675,0.0816,0.0169,0.0116,0.1835,0.0268
28,0.1892,0.0669,0.0809,0.0167,0.0115,0.1842,0.0278
29,0.1823,0.0663,0.0802,0.0166,0.0114,0.132,0.0288
30,0.1748,0.0737,0.0891,0.0184,0.0126,0.1689,0.0299
31,0.1676,0.073,0.0882,0.0182,0.0125,0.1685,0.031
32,0.1607,0.0722,0.0874,0.0181,0.0124,0.1681,0.0322
33,0.1541,0.0715,0.0864,0.0179,0.0123,0.1678,0.0334
