agecategory,sex,strata,cs,fsfv
0,male,non-maori,0,0
5,male,non-maori,0,0
10,male,non-maori,0,0
15,male,non-maori,0,0
20,male,non-maori,0,0.221
25,male,non-maori,0,0.221
30,male,non-maori,0,0.221
35,male,non-maori,0,0.221
40,male,non-maori,0,0.221
45,male,non-maori,0,0.205
50,male,non-maori,0,0.205
55,male,non-maori,0,0.205
60,male,non-maori,0,0.205
65,male,non-maori,0,0.205
70,male,non-maori,0,0.205
75,male,non-maori,0,0.205
80,male,non-maori,0,0.205
85,male,non-maori,0,0.205
90,male,non-maori,0,0.205
95,male,non-maori,0,0.205
0,male,maori,0,0
5,male,maori,0,0
10,male,maori,0,0
15,male,maori,0,0
20,male,maori,0,0.221
25,male,maori,0,0.221
30,male,maori,0,0.221
35,male,maori,0,0.221
40,male,maori,0,0.221
45,male,maori,0,0.205
50,male,maori,0,0.205
55,male,maori,0,0.205
60,male,maori,0,0.205
65,male,maori,0,0.205
70,male,maori,0,0.205
75,male,maori,0,0.205
80,male,maori,0,0.205
85,male,maori,0,0.205
90,male,maori,0,0.205
95,male,maori,0,0.205
0,female,non-maori,0,0
5,female,non-maori,0,0
10,female,non-maori,0,0
15,female,non-maori,0,0
20,female,non-maori,0,0.221
25,female,non-maori,0,0.221
30,female,non-maori,0,0.221
35,female,non-maori,0,0.221
40,female,non-maori,0,0.221
45,female,non-maori,0,0.205
50,female,non-maori,0,0.205
55,female,non-maori,0,0.205
60,female,non-maori,0,0.205
65,female,non-maori,0,0.205
70,female,non-maori,0,0.205
75,female,non-maori,0,0.205
80,female,non-maori,0,0.205
85,female,non-maori,0,0.205
90,female,non-maori,0,0.205
95,female,non-maori,0,0.205
0,female,maori,0,0
5,female,maori,0,0
10,female,maori,0,0
15,female,maori,0,0
20,female,maori,0,0.221
25,female,maori,0,0.221
30,female,maori,0,0.221
35,female,maori,0,0.221
40,female,maori,0,0.221
45,female,maori,0,0.205
50,female,maori,0,0.205
55,female,maori,0,0.205
60,female,maori,0,0.205
65,female,maori,0,0.205
70,female,maori,0,0.205
75,female,maori,0,0.205
80,female,maori,0,0.205
85,female,maori,0,0.205
90,female,maori,0,0.205
95,female,maori,0,0.205
