year,age,sex,strata,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
0,2,male,non-maori,,,,,,
1,2,male,non-maori,,,,,,
2,2,male,non-maori,,,,,,
3,2,male,non-maori,,,,,,
4,2,male,non-maori,,,,,,
5,2,male,non-maori,,,,,,
6,2,male,non-maori,,,,,,
7,2,male,non-maori,,,,,,
8,2,male,non-maori,,,,,,
9,2,male,non-maori,,,,,,
10,2,male,non-maori,,,,,,
11,2,male,non-maori,,,,,,
12,2,male,non-maori,,,,,,
13,2,male,non-maori,,,,,,
14,2,male,non-maori,,,,,,
15,2,male,non-maori,,,,,,
16,2,male,non-maori,,,,,,
17,2,male,non-maori,,,,,,
18,2,male,non-maori,,,,,,
19,2,male,non-maori,,,,,,
20,2,male,non-maori,,,,,,
0,2,male,maori,,,,,,
1,2,male,maori,,,,,,
2,2,male,maori,,,,,,
3,2,male,maori,,,,,,
4,2,male,maori,,,,,,
5,2,male,maori,,,,,,
6,2,male,maori,,,,,,
7,2,male,maori,,,,,,
8,2,male,maori,,,,,,
9,2,male,maori,,,,,,
10,2,male,maori,,,,,,
11,2,male,maori,,,,,,
12,2,male,maori,,,,,,
13,2,male,maori,,,,,,
14,2,male,maori,,,,,,
15,2,male,maori,,,,,,
16,2,male,maori,,,,,,
17,2,male,maori,,,,,,
18,2,male,maori,,,,,,
19,2,male,maori,,,,,,
20,2,male,maori,,,,,,
0,2,female,non-maori,,,,,,
1,2,female,non-maori,,,,,,
2,2,female,non-maori,,,,,,
3,2,female,non-maori,,,,,,
4,2,female,non-maori,,,,,,
5,2,female,non-maori,,,,,,
6,2,female,non-maori,,,,,,
7,2,female,non-maori,,,,,,
8,2,female,non-maori,,,,,,
9,2,female,non-maori,,,,,,
10,2,female,non-maori,,,,,,
11,2,female,non-maori,,,,,,
12,2,female,non-maori,,,,,,
13,2,female,non-maori,,,,,,
14,2,female,non-maori,,,,,,
15,2,female,non-maori,,,,,,
16,2,female,non-maori,,,,,,
17,2,female,non-maori,,,,,,
18,2,female,non-maori,,,,,,
19,2,female,non-maori,,,,,,
20,2,female,non-maori,,,,,,
0,2,female,maori,,,,,,
1,2,female,maori,,,,,,
2,2,female,maori,,,,,,
3,2,female,maori,,,,,,
4,2,female,maori,,,,,,
5,2,female,maori,,,,,,
6,2,female,maori,,,,,,
7,2,female,maori,,,,,,
8,2,female,maori,,,,,,
9,2,female,maori,,,,,,
10,2,female,maori,,,,,,
11,2,female,maori,,,,,,
12,2,female,maori,,,,,,
13,2,female,maori,,,,,,
14,2,female,maori,,,,,,
15,2,female,maori,,,,,,
16,2,female,maori,,,,,,
17,2,female,maori,,,,,,
18,2,female,maori,,,,,,
19,2,female,maori,,,,,,
20,2,female,maori,,,,,,
0,7,male,non-maori,,,,,,
1,7,male,non-maori,,,,,,
2,7,male,non-maori,,,,,,
3,7,male,non-maori,,,,,,
