sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
maori_female_22,0,0.4274,0.0503,0.0608,0.0126,0.0086,0.145,0.008
maori_female_22,1,0.4178,0.0506,0.0612,0.0127,0.0087,0.1293,0.008
maori_female_22,2,0.4083,0.0509,0.0616,0.0127,0.0087,0.1162,0.008
maori_female_22,3,0.3989,0.0513,0.062,0.0128,0.0088,0.1053,0.0079
maori_female_22,4,0.3894,0.0517,0.0625,0.0129,0.0089,0.096,0.0079
maori_female_22,5,0.3801,0.0521,0.063,0.013,0.0089,0.086,0.0079
maori_female_22,6,0.3708,0.0527,0.0637,0.0132,0.009,0.0791,0.0079
maori_female_22,7,0.3615,0.0533,0.0644,0.0133,0.0091,0.0731,0.0079
maori_female_22,8,0.3523,0.0539,0.0652,0.0135,0.0092,0.0678,0.0078
maori_female_22,9,0.3432,0.0545,0.066,0.0136,0.0094,0.0633,0.0078
maori_female_22,10,0.3341,0.0552,0.0668,0.0138,0.0095,0.0572,0.0078
maori_female_22,11,0.3251,0.0561,0.0679,0.014,0.0096,0.0534,0.0078
maori_female_22,12,0.3161,0.057,0.069,0.0143,0.0098,0.0501,0.0078
maori_female_22,13,0.3072,0.0579,0.0701,0.0145,0.0099,0.0472,0.0078
maori_female_22,14,0.2983,0.0589,0.0712,0.0147,0.0101,0.0446,0.0078
maori_female_22,15,0.2896,0.0598,0.0724,0.015,0.0103,0.0404,0.0078
maori_female_22,16,0.2809,0.061,0.0738,0.0153,0.0105,0.038,0.0078
maori_female_22,17,0.2722,0.0622,0.0752,0.0156,0.0107,0.0359,0.0078
maori_female_22,18,0.2637,0.0634,0.0767,0.0159,0.0109,0.0341,0.0078
maori_female_22,19,0.2552,0.0646,0.0782,0.0162,0.0111,0.0324,0.0078
maori_female_22,20,0.2469,0.0659,0.0797,0.0165,0.0113,0.0291,0.0078
maori_female_22,21,0.2386,0.0674,0.0815,0.0168,0.0116,0.0277,0.0078
maori_female_22,22,0.2304,0.0689,0.0834,0.0172,0.0118,0.0265,0.0078
maori_female_22,23,0.2223,0.0705,0.0853,0.0176,0.0121,0.0254,0.0078
maori_female_22,24,0.2144,0.0721,0.0872,0.018,0.0124,0.0245,0.0078
maori_female_22,25,0.2065,0.0736,0.0891,0.0184,0.0126,0.0215,0.0078
maori_female_22,26,0.1988,0.0755,0.0913,0.0189,0.013,0.0204,0.0078
maori_female_22,27,0.1912,0.0773,0.0935,0.0193,0.0133,0.0195,0.0079
maori_female_22,28,0.1836,0.0792,0.0958,0.0198,0.0136,0.0187,0.0079
maori_female_22,29,0.1763,0.0811,0.0981,0.0203,0.0139,0.0181,0.0079
maori_female_22,30,0.169,0.083,0.1004,0.0207,0.0142,0.0158,0.0079
maori_female_22,31,0.1619,0.0851,0.1029,0.0213,0.0146,0.0151,0.0079
maori_female_22,32,0.155,0.0873,0.1055,0.0218,0.015,0.0145,0.008
maori_female_22,33,0.1482,0.0894,0.1081,0.0224,0.0153,0.0141,0.008
maori_female_22,34,0.1415,0.0916,0.1108,0.0229,0.0157,0.0139,0.008
maori_female_22,35,0.135,0.0938,0.1134,0.0234,0.0161,0.0122,0.008
maori_female_22,36,0.1287,0.0961,0.1163,0.024,0.0165,0.012,0.0081
maori_female_22,37,0.1225,0.0985,0.1192,0.0246,0.0169,0.012,0.0081
maori_female_22,38,0.1165,0.1009,0.1221,0.0252,0.0173,0.0121,0.0081
maori_female_22,39,0.1106,0.1034,0.125,0.0258,0.0177,0.0125,0.0082
maori_female_22,40,0.105,0.1058,0.128,0.0265,0.0182,0.013,0.0082
maori_female_22,41,0.0995,0.1083,0.131,0.0271,0.0186,0.0137,0.0082
maori_female_22,42,0.0942,0.1108,0.134,0.0277,0.019,0.0147,0.0083
maori_female_22,43,0.0891,0.1133,0.1371,0.0283,0.0194,0.0159,0.0083
maori_female_22,44,0.0842,0.1159,0.1402,0.029,0.0199,0.0173,0.0084
maori_female_22,45,0.0794,0.1185,0.1433,0.0296,0.0203,0.0186,0.0084
maori_female_22,46,0.0749,0.1211,0.1465,0.0303,0.0208,0.0206,0.0084
maori_female_22,47,0.0705,0.1238,0.1497,0.0309,0.0212,0.0228,0.0085
maori_female_22,48,0.0663,0.1265,0.153,0.0316,0.0217,0.0253,0.0085
maori_female_22,49,0.0623,0.1292,0.1563,0.0323,0.0222,0.0283,0.0086
maori_female_22,50,0.0584,0.132,0.1596,0.033,0.0226,0.0329,0.0087
maori_female_22,51,0.0548,0.1347,0.1629,0.0337,0.0231,0.0367,0.0087
maori_female_22,52,0.0513,0.1374,0.1662,0.0343,0.0236,0.041,0.0088
maori_female_22,53,0.048,0.1401,0.1695,0.035,0.024,0.0458,0.0088
maori_female_22,54,0.0448,0.1429,0.1729,0.0357,0.0245,0.051,0.0089
maori_female_22,55,0.0419,0.1458,0.1763,0.0364,0.025,0.0578,0.009
maori_female_22,56,0.039,0.1486,0.1797,0.0371,0.0255,0.0644,0.009
maori_female_22,57,0.0364,0.1514,0.1832,0.0379,0.026,0.0716,0.0091
maori_female_22,58,0.0338,0.1544,0.1867,0.0386,0.0265,0.0796,0.0092
maori_female_22,59,0.0314,0.1573,0.1903,0.0393,0.027,0.0883,0.0092
maori_female_22,60,0.0292,0.1603,0.1939,0.0401,0.0275,0.1,0.0093
maori_female_22,61,0.0271,0.1633,0.1975,0.0408,0.028,0.1107,0.0094
maori_female_22,62,0.0251,0.1663,0.2011,0.0416,0.0285,0.1225,0.0095
maori_female_22,63,0.0233,0.1694,0.2048,0.0423,0.0291,0.1354,0.0095
maori_female_22,64,0.0215,0.1725,0.2087,0.0431,0.0296,0.1497,0.0096
maori_female_22,65,0.0199,0.1758,0.2126,0.0439,0.0302,0.167,0.0097
maori_female_22,66,0.0184,0.179,0.2165,0.0448,0.0307,0.1842,0.0098
maori_female_22,67,0.0169,0.1824,0.2206,0.0456,0.0313,0.2032,0.0099
maori_female_22,68,0.0156,0.1858,0.2248,0.0465,0.0319,0.2241,0.01
maori_female_22,69,0.0144,0.1894,0.2291,0.0474,0.0325,0.2471,0.0101
maori_female_22,70,0.0132,0.1932,0.2336,0.0483,0.0331,0.2744,0.0102
maori_female_22,71,0.0122,0.1969,0.2382,0.0492,0.0338,0.3025,0.0103
maori_female_22,72,0.0112,0.2009,0.2429,0.0502,0.0345,0.3336,0.0104
maori_female_22,73,0.0103,0.205,0.2479,0.0512,0.0352,0.368,0.0105
maori_female_22,74,0.0094,0.2093,0.2532,0.0523,0.0359,0.4061,0.0106
maori_female_22,75,0.0086,0.2139,0.2587,0.0535,0.0367,0.4498,0.0108
maori_female_22,76,0.0079,0.2186,0.2644,0.0547,0.0375,0.4969,0.0109
maori_female_22,77,0.0072,0.2236,0.2705,0.0559,0.0384,0.4859,0.011
maori_female_22,78,0.0066,0.229,0.2769,0.0572,0.0393,0.4741,0.0111
maori_female_22,79,0.006,0.2346,0.2838,0.0587,0.0403,0.4616,0.0113
maori_female_22,80,0.0055,0.2406,0.2911,0.0602,0.0413,0.4483,0.0114
maori_female_22,81,0.005,0.2453,0.2967,0.0613,0.0421,0.4379,0.0115
maori_female_22,82,0.0046,0.2496,0.3019,0.0624,0.0428,0.4285,0.0117
maori_female_22,83,0.0042,0.2525,0.3054,0.0631,0.0433,0.422,0.0118
maori_female_22,84,0.0038,0.2557,0.3092,0.0639,0.0439,0.4151,0.012
maori_female_22,85,0.0035,0.259,0.3133,0.0648,0.0444,0.4077,0.0121
maori_female_22,86,0.0032,0.2626,0.3177,0.0657,0.0451,0.3997,0.0123
maori_female_22,87,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,88,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,89,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,90,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,91,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,92,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,93,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,94,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,95,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,96,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,97,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,98,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,99,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,100,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,101,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,102,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,103,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,104,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,105,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,106,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,107,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,108,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
maori_female_22,109,0.0029,0.2665,0.3223,0.0666,0.0457,0.3911,0.0125
