sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
maori_male_22,0,0.3624,0.0805,0.0974,0.0201,0.0138,0.2357,0.02
maori_male_22,1,0.3489,0.0797,0.0964,0.0199,0.0137,0.2158,0.0206
maori_male_22,2,0.3358,0.079,0.0955,0.0197,0.0136,0.1992,0.0212
maori_male_22,3,0.323,0.0783,0.0947,0.0196,0.0134,0.185,0.0218
maori_male_22,4,0.3106,0.0776,0.0939,0.0194,0.0133,0.1729,0.0225
maori_male_22,5,0.2986,0.077,0.0931,0.0192,0.0132,0.1614,0.0231
maori_male_22,6,0.287,0.0765,0.0926,0.0191,0.0131,0.1521,0.0238
maori_male_22,7,0.2756,0.0761,0.092,0.019,0.0131,0.1438,0.0245
maori_male_22,8,0.2646,0.0757,0.0915,0.0189,0.013,0.1365,0.0252
maori_male_22,9,0.254,0.0752,0.091,0.0188,0.0129,0.1299,0.0258
maori_male_22,10,0.2436,0.0748,0.0905,0.0187,0.0128,0.1231,0.0266
maori_male_22,11,0.2336,0.0746,0.0902,0.0186,0.0128,0.1174,0.0273
maori_male_22,12,0.2238,0.0743,0.0899,0.0186,0.0128,0.1122,0.028
maori_male_22,13,0.2144,0.0741,0.0896,0.0185,0.0127,0.1073,0.0287
maori_male_22,14,0.2052,0.0738,0.0893,0.0185,0.0127,0.1028,0.0295
maori_male_22,15,0.1963,0.0736,0.089,0.0184,0.0126,0.0979,0.0302
maori_male_22,16,0.1877,0.0734,0.0888,0.0184,0.0126,0.0937,0.031
maori_male_22,17,0.1794,0.0733,0.0886,0.0183,0.0126,0.0897,0.0318
maori_male_22,18,0.1713,0.0731,0.0885,0.0183,0.0125,0.0858,0.0326
maori_male_22,19,0.1635,0.073,0.0883,0.0182,0.0125,0.0821,0.0334
maori_male_22,20,0.156,0.0728,0.088,0.0182,0.0125,0.078,0.0342
maori_male_22,21,0.1487,0.0728,0.0881,0.0182,0.0125,0.0744,0.035
maori_male_22,22,0.1417,0.0728,0.0881,0.0182,0.0125,0.0708,0.0358
maori_male_22,23,0.1349,0.0728,0.0881,0.0182,0.0125,0.0673,0.0366
maori_male_22,24,0.1283,0.0728,0.088,0.0182,0.0125,0.0639,0.0374
maori_male_22,25,0.122,0.0727,0.0879,0.0182,0.0125,0.0601,0.0383
maori_male_22,26,0.1159,0.0727,0.0879,0.0182,0.0125,0.0566,0.0391
maori_male_22,27,0.11,0.0727,0.0879,0.0182,0.0125,0.0531,0.04
maori_male_22,28,0.1044,0.0726,0.0878,0.0181,0.0125,0.0497,0.0408
maori_male_22,29,0.0989,0.0725,0.0877,0.0181,0.0124,0.0463,0.0417
maori_male_22,30,0.0937,0.0723,0.0875,0.0181,0.0124,0.0426,0.0426
maori_male_22,31,0.0887,0.0722,0.0873,0.0181,0.0124,0.0391,0.0434
maori_male_22,32,0.0839,0.0721,0.0872,0.018,0.0124,0.0357,0.0443
maori_male_22,33,0.0793,0.0719,0.0869,0.018,0.0123,0.0323,0.0452
maori_male_22,34,0.0749,0.0716,0.0867,0.0179,0.0123,0.0289,0.0461
maori_male_22,35,0.0706,0.0714,0.0863,0.0178,0.0122,0.0254,0.047
maori_male_22,36,0.0666,0.0711,0.086,0.0178,0.0122,0.022,0.0478
maori_male_22,37,0.0627,0.0708,0.0856,0.0177,0.0121,0.0186,0.0487
maori_male_22,38,0.059,0.0704,0.0852,0.0176,0.0121,0.0153,0.0496
maori_male_22,39,0.0555,0.0701,0.0847,0.0175,0.012,0.012,0.0505
maori_male_22,40,0.0522,0.0696,0.0842,0.0174,0.0119,0.0251,0.0514
maori_male_22,41,0.049,0.0698,0.0844,0.0175,0.012,0.0397,0.0523
maori_male_22,42,0.046,0.0706,0.0854,0.0177,0.0121,0.0404,0.0532
maori_male_22,43,0.0431,0.0715,0.0865,0.0179,0.0123,0.0412,0.054
maori_male_22,44,0.0404,0.0724,0.0875,0.0181,0.0124,0.0419,0.0549
maori_male_22,45,0.0378,0.0732,0.0886,0.0183,0.0126,0.0426,0.0558
maori_male_22,46,0.0353,0.0741,0.0896,0.0185,0.0127,0.0433,0.0567
maori_male_22,47,0.033,0.075,0.0907,0.0188,0.0129,0.044,0.0575
maori_male_22,48,0.0308,0.076,0.0919,0.019,0.013,0.0447,0.0584
maori_male_22,49,0.0288,0.0769,0.093,0.0192,0.0132,0.0453,0.0593
maori_male_22,50,0.0268,0.0779,0.0942,0.0195,0.0134,0.046,0.0601
maori_male_22,51,0.025,0.0789,0.0954,0.0197,0.0135,0.0466,0.061
maori_male_22,52,0.0232,0.0799,0.0967,0.02,0.0137,0.0472,0.0618
maori_male_22,53,0.0216,0.081,0.0979,0.0202,0.0139,0.0478,0.0626
maori_male_22,54,0.0201,0.0821,0.0993,0.0205,0.0141,0.0483,0.0634
maori_male_22,55,0.0187,0.0832,0.1006,0.0208,0.0143,0.0488,0.0642
maori_male_22,56,0.0173,0.0844,0.102,0.0211,0.0145,0.0493,0.065
maori_male_22,57,0.0161,0.0855,0.1035,0.0214,0.0147,0.0498,0.0658
maori_male_22,58,0.0149,0.0868,0.105,0.0217,0.0149,0.0502,0.0666
maori_male_22,59,0.0138,0.0881,0.1065,0.022,0.0151,0.0505,0.0674
maori_male_22,60,0.0127,0.0895,0.1082,0.0224,0.0153,0.0509,0.0681
maori_male_22,61,0.0118,0.0909,0.1099,0.0227,0.0156,0.0512,0.0688
