sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
non-maori_female22,0,0.1506,0.0473,0.0568,0.0118,0.0118,0.0546,0.022
non-maori_female22,1,0.1467,0.0464,0.0557,0.0116,0.0116,0.0462,0.0222
non-maori_female22,2,0.1428,0.0457,0.0548,0.0114,0.0114,0.0395,0.0224
non-maori_female22,3,0.1389,0.045,0.054,0.0113,0.0113,0.0342,0.0226
non-maori_female22,4,0.1351,0.0444,0.0533,0.0111,0.0111,0.0298,0.0227
non-maori_female22,5,0.1313,0.044,0.0528,0.011,0.011,0.0261,0.0229
non-maori_female22,6,0.1275,0.0436,0.0523,0.0109,0.0109,0.0231,0.0231
non-maori_female22,7,0.1237,0.0433,0.052,0.0108,0.0108,0.0207,0.0233
non-maori_female22,8,0.12,0.0431,0.0517,0.0108,0.0108,0.0187,0.0234
non-maori_female22,9,0.1163,0.0429,0.0515,0.0107,0.0107,0.0171,0.0236
non-maori_female22,10,0.1127,0.0428,0.0514,0.0107,0.0107,0.0183,0.0238
non-maori_female22,11,0.1091,0.0428,0.0514,0.0107,0.0107,0.0195,0.0239
non-maori_female22,12,0.1055,0.0429,0.0515,0.0107,0.0107,0.0184,0.0241
non-maori_female22,13,0.102,0.0431,0.0517,0.0108,0.0108,0.0173,0.0243
non-maori_female22,14,0.0985,0.0432,0.0519,0.0108,0.0108,0.0164,0.0245
non-maori_female22,15,0.0951,0.0434,0.0521,0.0109,0.0109,0.0154,0.0246
non-maori_female22,16,0.0917,0.0437,0.0525,0.0109,0.0109,0.0145,0.0248
non-maori_female22,17,0.0884,0.044,0.0528,0.011,0.011,0.0137,0.025
non-maori_female22,18,0.0852,0.0443,0.0532,0.0111,0.0111,0.0129,0.0251
non-maori_female22,19,0.082,0.0447,0.0536,0.0112,0.0112,0.0124,0.0253
non-maori_female22,20,0.0788,0.045,0.054,0.0113,0.0113,0.0122,0.0254
