sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
non-maori_male_62,0,0.1027,0.0559,0.0671,0.014,0.014,0.0399,0.05
non-maori_male_62,1,0.0974,0.0559,0.0671,0.014,0.014,0.0382,0.0512
non-maori_male_62,2,0.0923,0.0559,0.0671,0.014,0.014,0.0479,0.0524
non-maori_male_62,3,0.0873,0.0562,0.0674,0.014,0.014,0.0601,0.0537
non-maori_male_62,4,0.0826,0.0568,0.0682,0.0142,0.0142,0.0619,0.055
non-maori_male_62,5,0.0781,0.0575,0.069,0.0144,0.0144,0.0637,0.0563
non-maori_male_62,6,0.0737,0.0581,0.0698,0.0145,0.0145,0.0657,0.0577
non-maori_male_62,7,0.0696,0.0588,0.0706,0.0147,0.0147,0.0676,0.059
non-maori_male_62,8,0.0656,0.0595,0.0713,0.0149,0.0149,0.0697,0.0605
non-maori_male_62,9,0.0618,0.0601,0.0721,0.015,0.015,0.0718,0.0619
non-maori_male_62,10,0.0581,0.0608,0.0729,0.0152,0.0152,0.074,0.0634
non-maori_male_62,11,0.0547,0.0615,0.0737,0.0154,0.0154,0.0762,0.0649
non-maori_male_62,12,0.0514,0.0621,0.0745,0.0155,0.0155,0.0786,0.0665
non-maori_male_62,13,0.0482,0.0628,0.0753,0.0157,0.0157,0.081,0.0681
non-maori_male_62,14,0.0452,0.0635,0.0762,0.0159,0.0159,0.0834,0.0697
non-maori_male_62,15,0.0424,0.0641,0.077,0.016,0.016,0.086,0.0714
non-maori_male_62,16,0.0397,0.0648,0.0778,0.0162,0.0162,0.0887,0.0731
non-maori_male_62,17,0.0372,0.0655,0.0786,0.0164,0.0164,0.0914,0.0749
non-maori_male_62,18,0.0348,0.0661,0.0794,0.0165,0.0165,0.0942,0.0767
non-maori_male_62,19,0.0325,0.0668,0.0802,0.0167,0.0167,0.0971,0.0785
non-maori_male_62,20,0.0303,0.0675,0.081,0.0169,0.0169,0.1002,0.0804
non-maori_male_62,21,0.0283,0.0682,0.0818,0.0171,0.0171,0.1032,0.0824
non-maori_male_62,22,0.0264,0.0689,0.0827,0.0172,0.0172,0.1064,0.0843
non-maori_male_62,23,0.0246,0.0697,0.0836,0.0174,0.0174,0.1097,0.0864
non-maori_male_62,24,0.0228,0.0704,0.0845,0.0176,0.0176,0.113,0.0884
non-maori_male_62,25,0.0212,0.0712,0.0854,0.0178,0.0178,0.1165,0.0906
non-maori_male_62,26,0.0197,0.0719,0.0863,0.018,0.018,0.1201,0.0927
non-maori_male_62,27,0.0183,0.0727,0.0872,0.0182,0.0182,0.1237,0.095
non-maori_male_62,28,0.017,0.0735,0.0881,0.0184,0.0184,0.1275,0.0973
non-maori_male_62,29,0.0158,0.0742,0.0891,0.0186,0.0186,0.1314,0.0996
non-maori_male_62,30,0.0146,0.075,0.09,0.0188,0.0188,0.1354,0.102
non-maori_male_62,31,0.0135,0.0758,0.091,0.019,0.019,0.1395,0.1044
non-maori_male_62,32,0.0125,0.0766,0.0919,0.0191,0.0191,0.1437,0.107
non-maori_male_62,33,0.0116,0.0774,0.0929,0.0194,0.0194,0.1481,0.1095
non-maori_male_62,34,0.0107,0.0782,0.0939,0.0196,0.0196,0.1526,0.1122
non-maori_male_62,35,0.0099,0.0791,0.0949,0.0198,0.0198,0.1572,0.1149
non-maori_male_62,36,0.0091,0.0799,0.0959,0.02,0.02,0.1619,0.1176
non-maori_male_62,37,0.0084,0.0808,0.097,0.0202,0.0202,0.1667,0.1204
non-maori_male_62,38,0.0077,0.0817,0.098,0.0204,0.0204,0.1717,0.1233
non-maori_male_62,39,0.0071,0.0826,0.0991,0.0207,0.0207,0.1768,0.1263
non-maori_male_62,40,0.0065,0.0836,0.1003,0.0209,0.0209,0.1835,0.1293
non-maori_male_62,41,0.006,0.0838,0.1006,0.021,0.021,0.1895,0.1325
non-maori_male_62,42,0.0055,0.0841,0.1009,0.021,0.021,0.1957,0.1356
non-maori_male_62,43,0.0051,0.0844,0.1012,0.0211,0.0211,0.248,0.1389
non-maori_male_62,44,0.0048,0.0652,0.0783,0.0163,0.0163,0.1842,0.1422
non-maori_male_62,45,0.0044,0.0851,0.1021,0.0213,0.0213,0.2229,0.1457
non-maori_male_62,46,0.004,0.0816,0.0979,0.0204,0.0204,0.2334,0.1492
non-maori_male_62,47,0.0037,0.0781,0.0938,0.0195,0.0195,0.2441,0.1528
non-maori_male_62,48,0.0035,0.0746,0.0896,0.0187,0.0187,0.2819,0.1564
non-maori_male_62,49,0.0033,0.0669,0.0803,0.0167,0.0167,0.286,0.1602
non-maori_male_62,50,0.0031,0.0691,0.0829,0.0173,0.0173,0.3012,0.164
non-maori_male_62,51,0.0029,0.0713,0.0855,0.0178,0.0178,0.3172,0.168
non-maori_male_62,52,0.0027,0.0736,0.0883,0.0184,0.0184,0.3342,0.172
