age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,2.22,1.3367200000000001,2.22
21,male,2.22,1.3367200000000001,2.22
22,male,2.22,1.3367200000000001,2.22
23,male,2.22,1.3367200000000001,2.22
24,male,2.22,1.3367200000000001,2.22
25,male,2.22,1.3367200000000001,2.22
26,male,2.22,1.3367200000000001,2.22
27,male,2.22,1.3367200000000001,2.22
28,male,2.22,1.3367200000000001,2.22
29,male,2.22,1.3367200000000001,2.22
30,male,2.22,1.3367200000000001,2.22
31,male,2.22,1.3367200000000001,2.22
32,male,2.22,1.3367200000000001,2.22
33,male,2.22,1.3367200000000001,2.22
34,male,2.22,1.3367200000000001,2.22
35,male,2.22,1.3367200000000001,2.22
36,male,2.22,1.3367200000000001,2.22
37,male,2.22,1.3367200000000001,2.22
38,male,2.22,1.3367200000000001,2.22
39,male,2.22,1.3367200000000001,2.22
40,male,2.22,1.3367200000000001,2.22
41,male,2.22,1.3367200000000001,2.22
42,male,2.22,1.3367200000000001,2.22
43,male,2.22,1.3367200000000001,2.22
44,male,2.22,1.3367200000000001,2.22
45,male,2.22,1.3367200000000001,2.22
46,male,2.22,1.3367200000000001,2.22
47,male,2.22,1.3367200000000001,2.22
48,male,2.22,1.3367200000000001,2.22
49,male,2.22,1.3367200000000001,2.22
50,male,2.22,1.3367200000000001,2.22
51,male,2.22,1.3367200000000001,2.22
52,male,2.22,1.3367200000000001,2.22
53,male,2.22,1.3367200000000001,2.22
54,male,2.22,1.3367200000000001,2.22
55,male,2.22,1.3367200000000001,2.22
56,male,2.22,1.3367200000000001,2.22
57,male,2.22,1.3367200000000001,2.22
58,male,2.22,1.3367200000000001,2.22
59,male,2.22,1.3367200000000001,2.22
60,male,2.22,1.3367200000000001,2.22
61,male,2.22,1.3367200000000001,2.22
62,male,2.22,1.3367200000000001,2.22
63,male,2.22,1.3367200000000001,2.22
64,male,2.22,1.3367200000000001,2.22
65,male,2.22,1.3367200000000001,2.22
66,male,2.22,1.3367200000000001,2.22
67,male,2.22,1.3367200000000001,2.22
68,male,2.22,1.3367200000000001,2.22
69,male,2.22,1.3367200000000001,2.22
70,male,2.22,1.3367200000000001,2.22
71,male,2.22,1.3367200000000001,2.22
72,male,2.22,1.3367200000000001,2.22
73,male,2.22,1.3367200000000001,2.22
74,male,2.22,1.3367200000000001,2.22
75,male,2.22,1.3367200000000001,2.22
76,male,2.22,1.3367200000000001,2.22
77,male,2.22,1.3367200000000001,2.22
78,male,2.22,1.3367200000000001,2.22
79,male,2.22,1.3367200000000001,2.22
80,male,2.22,1.3367200000000001,2.22
81,male,2.22,1.3367200000000001,2.22
82,male,2.22,1.3367200000000001,2.22
83,male,2.22,1.3367200000000001,2.22
84,male,2.22,1.3367200000000001,2.22
85,male,2.22,1.3367200000000001,2.22
86,male,2.22,1.3367200000000001,2.22
87,male,2.22,1.3367200000000001,2.22
88,male,2.22,1.3367200000000001,2.22
89,male,2.22,1.3367200000000001,2.22
90,male,2.22,1.3367200000000001,2.22
91,male,2.22,1.3367200000000001,2.22
92,male,2.22,1.3367200000000001,2.22
93,male,2.22,1.3367200000000001,2.22
94,male,2.22,1.3367200000000001,2.22
95,male,2.22,1.3367200000000001,2.22
96,male,2.22,1.3367200000000001,2.22
97,male,2.22,1.3367200000000001,2.22
98,male,2.22,1.3367200000000001,2.22
99,male,2.22,1.3367200000000001,2.22
100,male,2.22,1.3367200000000001,2.22
101,male,2.22,1.3367200000000001,2.22
102,male,2.22,1.3367200000000001,2.22
103,male,2.22,1.3367200000000001,2.22
104,male,2.22,1.3367200000000001,2.22
105,male,2.22,1.3367200000000001,2.22
106,male,2.22,1.3367200000000001,2.22
107,male,2.22,1.3367200000000001,2.22
108,male,2.22,1.3367200000000001,2.22
109,male,2.22,1.3367200000000001,2.22
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,2.22,1.3367200000000001,2.22
21,female,2.22,1.3367200000000001,2.22
22,female,2.22,1.3367200000000001,2.22
23,female,2.22,1.3367200000000001,2.22
24,female,2.22,1.3367200000000001,2.22
25,female,2.22,1.3367200000000001,2.22
26,female,2.22,1.3367200000000001,2.22
27,female,2.22,1.3367200000000001,2.22
28,female,2.22,1.3367200000000001,2.22
29,female,2.22,1.3367200000000001,2.22
30,female,2.22,1.3367200000000001,2.22
31,female,2.22,1.3367200000000001,2.22
32,female,2.22,1.3367200000000001,2.22
33,female,2.22,1.3367200000000001,2.22
34,female,2.22,1.3367200000000001,2.22
35,female,2.22,1.3367200000000001,2.22
36,female,2.22,1.3367200000000001,2.22
37,female,2.22,1.3367200000000001,2.22
38,female,2.22,1.3367200000000001,2.22
39,female,2.22,1.3367200000000001,2.22
40,female,2.22,1.3367200000000001,2.22
41,female,2.22,1.3367200000000001,2.22
42,female,2.22,1.3367200000000001,2.22
43,female,2.22,1.3367200000000001,2.22
44,female,2.22,1.3367200000000001,2.22
45,female,2.22,1.3367200000000001,2.22
46,female,2.22,1.3367200000000001,2.22
47,female,2.22,1.3367200000000001,2.22
48,female,2.22,1.3367200000000001,2.22
49,female,2.22,1.3367200000000001,2.22
50,female,2.22,1.3367200000000001,2.22
51,female,2.22,1.3367200000000001,2.22
52,female,2.22,1.3367200000000001,2.22
53,female,2.22,1.3367200000000001,2.22
54,female,2.22,1.3367200000000001,2.22
55,female,2.22,1.3367200000000001,2.22
56,female,2.22,1.3367200000000001,2.22
57,female,2.22,1.3367200000000001,2.22
58,female,2.22,1.3367200000000001,2.22
59,female,2.22,1.3367200000000001,2.22
60,female,2.22,1.3367200000000001,2.22
61,female,2.22,1.3367200000000001,2.22
62,female,2.22,1.3367200000000001,2.22
63,female,2.22,1.3367200000000001,2.22
64,female,2.22,1.3367200000000001,2.22
65,female,2.22,1.3367200000000001,2.22
66,female,2.22,1.3367200000000001,2.22
67,female,2.22,1.3367200000000001,2.22
68,female,2.22,1.3367200000000001,2.22
69,female,2.22,1.3367200000000001,2.22
70,female,2.22,1.3367200000000001,2.22
71,female,2.22,1.3367200000000001,2.22
72,female,2.22,1.3367200000000001,2.22
73,female,2.22,1.3367200000000001,2.22
74,female,2.22,1.3367200000000001,2.22
75,female,2.22,1.3367200000000001,2.22
76,female,2.22,1.3367200000000001,2.22
77,female,2.22,1.3367200000000001,2.22
78,female,2.22,1.3367200000000001,2.22
79,female,2.22,1.3367200000000001,2.22
80,female,2.22,1.3367200000000001,2.22
81,female,2.22,1.3367200000000001,2.22
82,female,2.22,1.3367200000000001,2.22
83,female,2.22,1.3367200000000001,2.22
84,female,2.22,1.3367200000000001,2.22
85,female,2.22,1.3367200000000001,2.22
86,female,2.22,1.3367200000000001,2.22
87,female,2.22,1.3367200000000001,2.22
88,female,2.22,1.3367200000000001,2.22
89,female,2.22,1.3367200000000001,2.22
90,female,2.22,1.3367200000000001,2.22
91,female,2.22,1.3367200000000001,2.22
92,female,2.22,1.3367200000000001,2.22
93,female,2.22,1.3367200000000001,2.22
94,female,2.22,1.3367200000000001,2.22
95,female,2.22,1.3367200000000001,2.22
96,female,2.22,1.3367200000000001,2.22
97,female,2.22,1.3367200000000001,2.22
98,female,2.22,1.3367200000000001,2.22
99,female,2.22,1.3367200000000001,2.22
100,female,2.22,1.3367200000000001,2.22
101,female,2.22,1.3367200000000001,2.22
102,female,2.22,1.3367200000000001,2.22
103,female,2.22,1.3367200000000001,2.22
104,female,2.22,1.3367200000000001,2.22
105,female,2.22,1.3367200000000001,2.22
106,female,2.22,1.3367200000000001,2.22
107,female,2.22,1.3367200000000001,2.22
108,female,2.22,1.3367200000000001,2.22
109,female,2.22,1.3367200000000001,2.22
