age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1,1,1
21,male,1,1,1
22,male,1,1,1
23,male,1,1,1
24,male,1,1,1
25,male,1,1,1
26,male,1,1,1
27,male,1,1,1
28,male,1,1,1
29,male,1,1,1
30,male,1,1,1
31,male,1,1,1
32,male,1,1,1
33,male,1,1,1
34,male,1,1,1
35,male,1,1,1
36,male,1,1,1
37,male,1,1,1
38,male,1,1,1
39,male,1,1,1
40,male,1,1,1
41,male,1,1,1
42,male,1,1,1
43,male,1,1,1
44,male,1,1,1
45,male,1,1,1
46,male,1,1,1
47,male,1,1,1
48,male,1,1,1
49,male,1,1,1
50,male,1,1,1
51,male,1,1,1
52,male,1,1,1
53,male,1,1,1
54,male,1,1,1
55,male,1,1,1
56,male,1,1,1
57,male,1,1,1
58,male,1,1,1
59,male,1,1,1
60,male,1,1,1
61,male,1,1,1
62,male,1,1,1
63,male,1,1,1
64,male,1,1,1
65,male,1,1,1
66,male,1,1,1
67,male,1,1,1
68,male,1,1,1
69,male,1,1,1
70,male,1,1,1
71,male,1,1,1
72,male,1,1,1
73,male,1,1,1
74,male,1,1,1
75,male,1,1,1
76,male,1,1,1
77,male,1,1,1
78,male,1,1,1
79,male,1,1,1
80,male,1,1,1
81,male,1,1,1
82,male,1,1,1
83,male,1,1,1
84,male,1,1,1
85,male,1,1,1
86,male,1,1,1
87,male,1,1,1
88,male,1,1,1
89,male,1,1,1
90,male,1,1,1
91,male,1,1,1
92,male,1,1,1
93,male,1,1,1
94,male,1,1,1
95,male,1,1,1
96,male,1,1,1
97,male,1,1,1
98,male,1,1,1
99,male,1,1,1
100,male,1,1,1
101,male,1,1,1
102,male,1,1,1
103,male,1,1,1
104,male,1,1,1
105,male,1,1,1
106,male,1,1,1
107,male,1,1,1
108,male,1,1,1
109,male,1,1,1
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.82,1.33292,1.82
21,female,1.82,1.33292,1.82
22,female,1.82,1.33292,1.82
23,female,1.82,1.33292,1.82
24,female,1.82,1.33292,1.82
25,female,1.82,1.33292,1.82
26,female,1.82,1.33292,1.82
27,female,1.82,1.33292,1.82
28,female,1.82,1.33292,1.82
29,female,1.82,1.33292,1.82
30,female,1.82,1.33292,1.82
31,female,1.82,1.33292,1.82
32,female,1.82,1.33292,1.82
33,female,1.82,1.33292,1.82
34,female,1.82,1.33292,1.82
35,female,1.82,1.33292,1.82
36,female,1.82,1.33292,1.82
37,female,1.82,1.33292,1.82
38,female,1.82,1.33292,1.82
39,female,1.82,1.33292,1.82
40,female,1.82,1.33292,1.82
41,female,1.82,1.33292,1.82
42,female,1.82,1.33292,1.82
43,female,1.82,1.33292,1.82
44,female,1.82,1.33292,1.82
45,female,1.82,1.33292,1.82
46,female,1.82,1.33292,1.82
47,female,1.82,1.33292,1.82
48,female,1.82,1.33292,1.82
49,female,1.82,1.33292,1.82
50,female,1.82,1.33292,1.82
51,female,1.82,1.33292,1.82
52,female,1.82,1.33292,1.82
53,female,1.82,1.33292,1.82
54,female,1.82,1.33292,1.82
55,female,1.82,1.33292,1.82
56,female,1.82,1.33292,1.82
57,female,1.82,1.33292,1.82
58,female,1.82,1.33292,1.82
59,female,1.82,1.33292,1.82
60,female,1.82,1.33292,1.82
61,female,1.82,1.33292,1.82
62,female,1.82,1.33292,1.82
63,female,1.82,1.33292,1.82
64,female,1.82,1.33292,1.82
65,female,1.82,1.33292,1.82
66,female,1.82,1.33292,1.82
67,female,1.82,1.33292,1.82
68,female,1.82,1.33292,1.82
69,female,1.82,1.33292,1.82
70,female,1.82,1.33292,1.82
71,female,1.82,1.33292,1.82
72,female,1.82,1.33292,1.82
73,female,1.82,1.33292,1.82
74,female,1.82,1.33292,1.82
75,female,1.82,1.33292,1.82
76,female,1.82,1.33292,1.82
77,female,1.82,1.33292,1.82
78,female,1.82,1.33292,1.82
79,female,1.82,1.33292,1.82
80,female,1.82,1.33292,1.82
81,female,1.82,1.33292,1.82
82,female,1.82,1.33292,1.82
83,female,1.82,1.33292,1.82
84,female,1.82,1.33292,1.82
85,female,1.82,1.33292,1.82
86,female,1.82,1.33292,1.82
87,female,1.82,1.33292,1.82
88,female,1.82,1.33292,1.82
89,female,1.82,1.33292,1.82
90,female,1.82,1.33292,1.82
91,female,1.82,1.33292,1.82
92,female,1.82,1.33292,1.82
93,female,1.82,1.33292,1.82
94,female,1.82,1.33292,1.82
95,female,1.82,1.33292,1.82
96,female,1.82,1.33292,1.82
97,female,1.82,1.33292,1.82
98,female,1.82,1.33292,1.82
99,female,1.82,1.33292,1.82
100,female,1.82,1.33292,1.82
101,female,1.82,1.33292,1.82
102,female,1.82,1.33292,1.82
103,female,1.82,1.33292,1.82
104,female,1.82,1.33292,1.82
105,female,1.82,1.33292,1.82
106,female,1.82,1.33292,1.82
107,female,1.82,1.33292,1.82
108,female,1.82,1.33292,1.82
109,female,1.82,1.33292,1.82
