age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,10.8,3.7048000000000005,10.8
21,male,10.8,3.7048000000000005,10.8
22,male,10.8,3.7048000000000005,10.8
23,male,10.8,3.7048000000000005,10.8
24,male,10.8,3.7048000000000005,10.8
25,male,10.8,3.7048000000000005,10.8
26,male,10.8,3.7048000000000005,10.8
27,male,10.8,3.7048000000000005,10.8
28,male,10.8,3.7048000000000005,10.8
29,male,10.8,3.7048000000000005,10.8
30,male,10.8,3.7048000000000005,10.8
31,male,10.8,3.7048000000000005,10.8
32,male,10.8,3.7048000000000005,10.8
33,male,10.8,3.7048000000000005,10.8
34,male,10.8,3.7048000000000005,10.8
35,male,10.8,3.7048000000000005,10.8
36,male,10.8,3.7048000000000005,10.8
37,male,10.8,3.7048000000000005,10.8
38,male,10.8,3.7048000000000005,10.8
39,male,10.8,3.7048000000000005,10.8
40,male,10.8,3.7048000000000005,10.8
41,male,10.8,3.7048000000000005,10.8
42,male,10.8,3.7048000000000005,10.8
43,male,10.8,3.7048000000000005,10.8
44,male,10.8,3.7048000000000005,10.8
45,male,10.8,3.7048000000000005,10.8
46,male,10.8,3.7048000000000005,10.8
47,male,10.8,3.7048000000000005,10.8
48,male,10.8,3.7048000000000005,10.8
49,male,10.8,3.7048000000000005,10.8
50,male,10.8,3.7048000000000005,10.8
51,male,10.8,3.7048000000000005,10.8
52,male,10.8,3.7048000000000005,10.8
53,male,10.8,3.7048000000000005,10.8
54,male,10.8,3.7048000000000005,10.8
55,male,10.8,3.7048000000000005,10.8
56,male,10.8,3.7048000000000005,10.8
57,male,10.8,3.7048000000000005,10.8
58,male,10.8,3.7048000000000005,10.8
59,male,10.8,3.7048000000000005,10.8
60,male,10.8,3.7048000000000005,10.8
61,male,10.8,3.7048000000000005,10.8
62,male,10.8,3.7048000000000005,10.8
63,male,10.8,3.7048000000000005,10.8
64,male,10.8,3.7048000000000005,10.8
65,male,10.8,3.7048000000000005,10.8
66,male,10.8,3.7048000000000005,10.8
67,male,10.8,3.7048000000000005,10.8
68,male,10.8,3.7048000000000005,10.8
69,male,10.8,3.7048000000000005,10.8
70,male,10.8,3.7048000000000005,10.8
71,male,10.8,3.7048000000000005,10.8
72,male,10.8,3.7048000000000005,10.8
73,male,10.8,3.7048000000000005,10.8
74,male,10.8,3.7048000000000005,10.8
75,male,10.8,3.7048000000000005,10.8
76,male,10.8,3.7048000000000005,10.8
77,male,10.8,3.7048000000000005,10.8
78,male,10.8,3.7048000000000005,10.8
79,male,10.8,3.7048000000000005,10.8
80,male,10.8,3.7048000000000005,10.8
81,male,10.8,3.7048000000000005,10.8
82,male,10.8,3.7048000000000005,10.8
83,male,10.8,3.7048000000000005,10.8
84,male,10.8,3.7048000000000005,10.8
85,male,10.8,3.7048000000000005,10.8
86,male,10.8,3.7048000000000005,10.8
87,male,10.8,3.7048000000000005,10.8
88,male,10.8,3.7048000000000005,10.8
89,male,10.8,3.7048000000000005,10.8
90,male,10.8,3.7048000000000005,10.8
91,male,10.8,3.7048000000000005,10.8
92,male,10.8,3.7048000000000005,10.8
93,male,10.8,3.7048000000000005,10.8
94,male,10.8,3.7048000000000005,10.8
95,male,10.8,3.7048000000000005,10.8
96,male,10.8,3.7048000000000005,10.8
97,male,10.8,3.7048000000000005,10.8
98,male,10.8,3.7048000000000005,10.8
99,male,10.8,3.7048000000000005,10.8
100,male,10.8,3.7048000000000005,10.8
101,male,10.8,3.7048000000000005,10.8
102,male,10.8,3.7048000000000005,10.8
103,male,10.8,3.7048000000000005,10.8
104,male,10.8,3.7048000000000005,10.8
105,male,10.8,3.7048000000000005,10.8
106,male,10.8,3.7048000000000005,10.8
107,male,10.8,3.7048000000000005,10.8
108,male,10.8,3.7048000000000005,10.8
109,male,10.8,3.7048000000000005,10.8
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,12.3,3.7048000000000005,12.3
21,female,12.3,3.7048000000000005,12.3
22,female,12.3,3.7048000000000005,12.3
23,female,12.3,3.7048000000000005,12.3
24,female,12.3,3.7048000000000005,12.3
25,female,12.3,3.7048000000000005,12.3
26,female,12.3,3.7048000000000005,12.3
27,female,12.3,3.7048000000000005,12.3
28,female,12.3,3.7048000000000005,12.3
29,female,12.3,3.7048000000000005,12.3
30,female,12.3,3.7048000000000005,12.3
31,female,12.3,3.7048000000000005,12.3
32,female,12.3,3.7048000000000005,12.3
33,female,12.3,3.7048000000000005,12.3
34,female,12.3,3.7048000000000005,12.3
35,female,12.3,3.7048000000000005,12.3
36,female,12.3,3.7048000000000005,12.3
37,female,12.3,3.7048000000000005,12.3
38,female,12.3,3.7048000000000005,12.3
39,female,12.3,3.7048000000000005,12.3
40,female,12.3,3.7048000000000005,12.3
41,female,12.3,3.7048000000000005,12.3
42,female,12.3,3.7048000000000005,12.3
43,female,12.3,3.7048000000000005,12.3
44,female,12.3,3.7048000000000005,12.3
45,female,12.3,3.7048000000000005,12.3
46,female,12.3,3.7048000000000005,12.3
47,female,12.3,3.7048000000000005,12.3
48,female,12.3,3.7048000000000005,12.3
49,female,12.3,3.7048000000000005,12.3
50,female,12.3,3.7048000000000005,12.3
51,female,12.3,3.7048000000000005,12.3
52,female,12.3,3.7048000000000005,12.3
53,female,12.3,3.7048000000000005,12.3
54,female,12.3,3.7048000000000005,12.3
55,female,12.3,3.7048000000000005,12.3
56,female,12.3,3.7048000000000005,12.3
57,female,12.3,3.7048000000000005,12.3
58,female,12.3,3.7048000000000005,12.3
59,female,12.3,3.7048000000000005,12.3
60,female,12.3,3.7048000000000005,12.3
61,female,12.3,3.7048000000000005,12.3
62,female,12.3,3.7048000000000005,12.3
63,female,12.3,3.7048000000000005,12.3
64,female,12.3,3.7048000000000005,12.3
65,female,12.3,3.7048000000000005,12.3
66,female,12.3,3.7048000000000005,12.3
67,female,12.3,3.7048000000000005,12.3
68,female,12.3,3.7048000000000005,12.3
69,female,12.3,3.7048000000000005,12.3
70,female,12.3,3.7048000000000005,12.3
71,female,12.3,3.7048000000000005,12.3
72,female,12.3,3.7048000000000005,12.3
73,female,12.3,3.7048000000000005,12.3
74,female,12.3,3.7048000000000005,12.3
75,female,12.3,3.7048000000000005,12.3
76,female,12.3,3.7048000000000005,12.3
77,female,12.3,3.7048000000000005,12.3
78,female,12.3,3.7048000000000005,12.3
79,female,12.3,3.7048000000000005,12.3
80,female,12.3,3.7048000000000005,12.3
81,female,12.3,3.7048000000000005,12.3
82,female,12.3,3.7048000000000005,12.3
83,female,12.3,3.7048000000000005,12.3
84,female,12.3,3.7048000000000005,12.3
85,female,12.3,3.7048000000000005,12.3
86,female,12.3,3.7048000000000005,12.3
87,female,12.3,3.7048000000000005,12.3
88,female,12.3,3.7048000000000005,12.3
89,female,12.3,3.7048000000000005,12.3
90,female,12.3,3.7048000000000005,12.3
91,female,12.3,3.7048000000000005,12.3
92,female,12.3,3.7048000000000005,12.3
93,female,12.3,3.7048000000000005,12.3
94,female,12.3,3.7048000000000005,12.3
95,female,12.3,3.7048000000000005,12.3
96,female,12.3,3.7048000000000005,12.3
97,female,12.3,3.7048000000000005,12.3
98,female,12.3,3.7048000000000005,12.3
99,female,12.3,3.7048000000000005,12.3
100,female,12.3,3.7048000000000005,12.3
101,female,12.3,3.7048000000000005,12.3
102,female,12.3,3.7048000000000005,12.3
103,female,12.3,3.7048000000000005,12.3
104,female,12.3,3.7048000000000005,12.3
105,female,12.3,3.7048000000000005,12.3
106,female,12.3,3.7048000000000005,12.3
107,female,12.3,3.7048000000000005,12.3
108,female,12.3,3.7048000000000005,12.3
109,female,12.3,3.7048000000000005,12.3
