age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1.28,1.07728,1.28
21,male,1.28,1.07728,1.28
22,male,1.28,1.07728,1.28
23,male,1.28,1.07728,1.28
24,male,1.28,1.07728,1.28
25,male,1.28,1.07728,1.28
26,male,1.28,1.07728,1.28
27,male,1.28,1.07728,1.28
28,male,1.28,1.07728,1.28
29,male,1.28,1.07728,1.28
30,male,1.28,1.07728,1.28
31,male,1.28,1.07728,1.28
32,male,1.28,1.07728,1.28
33,male,1.28,1.07728,1.28
34,male,1.28,1.07728,1.28
35,male,1.28,1.07728,1.28
36,male,1.28,1.07728,1.28
37,male,1.28,1.07728,1.28
38,male,1.28,1.07728,1.28
39,male,1.28,1.07728,1.28
40,male,1.28,1.07728,1.28
41,male,1.28,1.07728,1.28
42,male,1.28,1.07728,1.28
43,male,1.28,1.07728,1.28
44,male,1.28,1.07728,1.28
45,male,1.28,1.07728,1.28
46,male,1.28,1.07728,1.28
47,male,1.28,1.07728,1.28
48,male,1.28,1.07728,1.28
49,male,1.28,1.07728,1.28
50,male,1.28,1.07728,1.28
51,male,1.28,1.07728,1.28
52,male,1.28,1.07728,1.28
53,male,1.28,1.07728,1.28
54,male,1.28,1.07728,1.28
55,male,1.28,1.07728,1.28
56,male,1.28,1.07728,1.28
57,male,1.28,1.07728,1.28
58,male,1.28,1.07728,1.28
59,male,1.28,1.07728,1.28
60,male,1.28,1.07728,1.28
61,male,1.28,1.07728,1.28
62,male,1.28,1.07728,1.28
63,male,1.28,1.07728,1.28
64,male,1.28,1.07728,1.28
65,male,1.28,1.07728,1.28
66,male,1.28,1.07728,1.28
67,male,1.28,1.07728,1.28
68,male,1.28,1.07728,1.28
69,male,1.28,1.07728,1.28
70,male,1.28,1.07728,1.28
71,male,1.28,1.07728,1.28
72,male,1.28,1.07728,1.28
73,male,1.28,1.07728,1.28
74,male,1.28,1.07728,1.28
75,male,1.28,1.07728,1.28
76,male,1.28,1.07728,1.28
77,male,1.28,1.07728,1.28
78,male,1.28,1.07728,1.28
79,male,1.28,1.07728,1.28
80,male,1.28,1.07728,1.28
81,male,1.28,1.07728,1.28
82,male,1.28,1.07728,1.28
83,male,1.28,1.07728,1.28
84,male,1.28,1.07728,1.28
85,male,1.28,1.07728,1.28
86,male,1.28,1.07728,1.28
87,male,1.28,1.07728,1.28
88,male,1.28,1.07728,1.28
89,male,1.28,1.07728,1.28
90,male,1.28,1.07728,1.28
91,male,1.28,1.07728,1.28
92,male,1.28,1.07728,1.28
93,male,1.28,1.07728,1.28
94,male,1.28,1.07728,1.28
95,male,1.28,1.07728,1.28
96,male,1.28,1.07728,1.28
97,male,1.28,1.07728,1.28
98,male,1.28,1.07728,1.28
99,male,1.28,1.07728,1.28
100,male,1.28,1.07728,1.28
101,male,1.28,1.07728,1.28
102,male,1.28,1.07728,1.28
103,male,1.28,1.07728,1.28
104,male,1.28,1.07728,1.28
105,male,1.28,1.07728,1.28
106,male,1.28,1.07728,1.28
107,male,1.28,1.07728,1.28
108,male,1.28,1.07728,1.28
109,male,1.28,1.07728,1.28
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.25,1.07728,1.25
21,female,1.25,1.07728,1.25
22,female,1.25,1.07728,1.25
23,female,1.25,1.07728,1.25
24,female,1.25,1.07728,1.25
25,female,1.25,1.07728,1.25
26,female,1.25,1.07728,1.25
27,female,1.25,1.07728,1.25
28,female,1.25,1.07728,1.25
29,female,1.25,1.07728,1.25
30,female,1.25,1.07728,1.25
31,female,1.25,1.07728,1.25
32,female,1.25,1.07728,1.25
33,female,1.25,1.07728,1.25
34,female,1.25,1.07728,1.25
35,female,1.25,1.07728,1.25
36,female,1.25,1.07728,1.25
37,female,1.25,1.07728,1.25
38,female,1.25,1.07728,1.25
39,female,1.25,1.07728,1.25
40,female,1.25,1.07728,1.25
41,female,1.25,1.07728,1.25
42,female,1.25,1.07728,1.25
43,female,1.25,1.07728,1.25
44,female,1.25,1.07728,1.25
45,female,1.25,1.07728,1.25
46,female,1.25,1.07728,1.25
47,female,1.25,1.07728,1.25
48,female,1.25,1.07728,1.25
49,female,1.25,1.07728,1.25
50,female,1.25,1.07728,1.25
51,female,1.25,1.07728,1.25
52,female,1.25,1.07728,1.25
53,female,1.25,1.07728,1.25
54,female,1.25,1.07728,1.25
55,female,1.25,1.07728,1.25
56,female,1.25,1.07728,1.25
57,female,1.25,1.07728,1.25
58,female,1.25,1.07728,1.25
59,female,1.25,1.07728,1.25
60,female,1.25,1.07728,1.25
61,female,1.25,1.07728,1.25
62,female,1.25,1.07728,1.25
63,female,1.25,1.07728,1.25
64,female,1.25,1.07728,1.25
65,female,1.25,1.07728,1.25
66,female,1.25,1.07728,1.25
67,female,1.25,1.07728,1.25
68,female,1.25,1.07728,1.25
69,female,1.25,1.07728,1.25
70,female,1.25,1.07728,1.25
71,female,1.25,1.07728,1.25
72,female,1.25,1.07728,1.25
73,female,1.25,1.07728,1.25
74,female,1.25,1.07728,1.25
75,female,1.25,1.07728,1.25
76,female,1.25,1.07728,1.25
77,female,1.25,1.07728,1.25
78,female,1.25,1.07728,1.25
79,female,1.25,1.07728,1.25
80,female,1.25,1.07728,1.25
81,female,1.25,1.07728,1.25
82,female,1.25,1.07728,1.25
83,female,1.25,1.07728,1.25
84,female,1.25,1.07728,1.25
85,female,1.25,1.07728,1.25
86,female,1.25,1.07728,1.25
87,female,1.25,1.07728,1.25
88,female,1.25,1.07728,1.25
89,female,1.25,1.07728,1.25
90,female,1.25,1.07728,1.25
91,female,1.25,1.07728,1.25
92,female,1.25,1.07728,1.25
93,female,1.25,1.07728,1.25
94,female,1.25,1.07728,1.25
95,female,1.25,1.07728,1.25
96,female,1.25,1.07728,1.25
97,female,1.25,1.07728,1.25
98,female,1.25,1.07728,1.25
99,female,1.25,1.07728,1.25
100,female,1.25,1.07728,1.25
101,female,1.25,1.07728,1.25
102,female,1.25,1.07728,1.25
103,female,1.25,1.07728,1.25
104,female,1.25,1.07728,1.25
105,female,1.25,1.07728,1.25
106,female,1.25,1.07728,1.25
107,female,1.25,1.07728,1.25
108,female,1.25,1.07728,1.25
109,female,1.25,1.07728,1.25
