age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1,1,1
21,male,1,1,1
22,male,1,1,1
23,male,1,1,1
24,male,1,1,1
25,male,1,1,1
26,male,1,1,1
27,male,1,1,1
28,male,1,1,1
29,male,1,1,1
30,male,1,1,1
31,male,1,1,1
32,male,1,1,1
33,male,1,1,1
34,male,1,1,1
35,male,1,1,1
36,male,1,1,1
37,male,1,1,1
38,male,1,1,1
39,male,1,1,1
40,male,1,1,1
41,male,1,1,1
42,male,1,1,1
43,male,1,1,1
44,male,1,1,1
45,male,1,1,1
46,male,1,1,1
47,male,1,1,1
48,male,1,1,1
49,male,1,1,1
50,male,1,1,1
51,male,1,1,1
52,male,1,1,1
53,male,1,1,1
54,male,1,1,1
55,male,1,1,1
56,male,1,1,1
57,male,1,1,1
58,male,1,1,1
59,male,1,1,1
60,male,1,1,1
61,male,1,1,1
62,male,1,1,1
63,male,1,1,1
64,male,1,1,1
65,male,1,1,1
66,male,1,1,1
67,male,1,1,1
68,male,1,1,1
69,male,1,1,1
70,male,1,1,1
71,male,1,1,1
72,male,1,1,1
73,male,1,1,1
74,male,1,1,1
75,male,1,1,1
76,male,1,1,1
77,male,1,1,1
78,male,1,1,1
79,male,1,1,1
80,male,1,1,1
81,male,1,1,1
82,male,1,1,1
83,male,1,1,1
84,male,1,1,1
85,male,1,1,1
86,male,1,1,1
87,male,1,1,1
88,male,1,1,1
89,male,1,1,1
90,male,1,1,1
91,male,1,1,1
92,male,1,1,1
93,male,1,1,1
94,male,1,1,1
95,male,1,1,1
96,male,1,1,1
97,male,1,1,1
98,male,1,1,1
99,male,1,1,1
100,male,1,1,1
101,male,1,1,1
102,male,1,1,1
103,male,1,1,1
104,male,1,1,1
105,male,1,1,1
106,male,1,1,1
107,male,1,1,1
108,male,1,1,1
109,male,1,1,1
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,0.67,0.87,0.67
21,female,0.67,0.87,0.67
22,female,0.67,0.87,0.67
23,female,0.67,0.87,0.67
24,female,0.67,0.87,0.67
25,female,0.67,0.87,0.67
26,female,0.67,0.87,0.67
27,female,0.67,0.87,0.67
28,female,0.67,0.87,0.67
29,female,0.67,0.87,0.67
30,female,0.67,0.87,0.67
31,female,0.67,0.87,0.67
32,female,0.67,0.87,0.67
33,female,0.67,0.87,0.67
34,female,0.67,0.87,0.67
35,female,0.67,0.87,0.67
36,female,0.67,0.87,0.67
37,female,0.67,0.87,0.67
38,female,0.67,0.87,0.67
39,female,0.67,0.87,0.67
40,female,0.67,0.87,0.67
41,female,0.67,0.87,0.67
42,female,0.67,0.87,0.67
43,female,0.67,0.87,0.67
44,female,0.67,0.87,0.67
45,female,0.67,0.87,0.67
46,female,0.67,0.87,0.67
47,female,0.67,0.87,0.67
48,female,0.67,0.87,0.67
49,female,0.67,0.87,0.67
50,female,0.67,0.87,0.67
51,female,0.67,0.87,0.67
52,female,0.67,0.87,0.67
53,female,0.67,0.87,0.67
54,female,0.67,0.87,0.67
55,female,0.67,0.87,0.67
56,female,0.67,0.87,0.67
57,female,0.67,0.87,0.67
58,female,0.67,0.87,0.67
59,female,0.67,0.87,0.67
60,female,0.67,0.87,0.67
61,female,0.67,0.87,0.67
62,female,0.67,0.87,0.67
63,female,0.67,0.87,0.67
64,female,0.67,0.87,0.67
65,female,0.67,0.87,0.67
66,female,0.67,0.87,0.67
67,female,0.67,0.87,0.67
68,female,0.67,0.87,0.67
69,female,0.67,0.87,0.67
70,female,0.67,0.87,0.67
71,female,0.67,0.87,0.67
72,female,0.67,0.87,0.67
73,female,0.67,0.87,0.67
74,female,0.67,0.87,0.67
75,female,0.67,0.87,0.67
76,female,0.67,0.87,0.67
77,female,0.67,0.87,0.67
78,female,0.67,0.87,0.67
79,female,0.67,0.87,0.67
80,female,0.67,0.87,0.67
81,female,0.67,0.87,0.67
82,female,0.67,0.87,0.67
83,female,0.67,0.87,0.67
84,female,0.67,0.87,0.67
85,female,0.67,0.87,0.67
86,female,0.67,0.87,0.67
87,female,0.67,0.87,0.67
88,female,0.67,0.87,0.67
89,female,0.67,0.87,0.67
90,female,0.67,0.87,0.67
91,female,0.67,0.87,0.67
92,female,0.67,0.87,0.67
93,female,0.67,0.87,0.67
94,female,0.67,0.87,0.67
95,female,0.67,0.87,0.67
96,female,0.67,0.87,0.67
97,female,0.67,0.87,0.67
98,female,0.67,0.87,0.67
99,female,0.67,0.87,0.67
100,female,0.67,0.87,0.67
101,female,0.67,0.87,0.67
102,female,0.67,0.87,0.67
103,female,0.67,0.87,0.67
104,female,0.67,0.87,0.67
105,female,0.67,0.87,0.67
106,female,0.67,0.87,0.67
107,female,0.67,0.87,0.67
108,female,0.67,0.87,0.67
109,female,0.67,0.87,0.67
