age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1.61,1.21,1.61
21,male,1.61,1.21,1.61
22,male,1.61,1.21,1.61
23,male,1.61,1.21,1.61
24,male,1.61,1.21,1.61
25,male,1.61,1.21,1.61
26,male,1.61,1.21,1.61
27,male,1.61,1.21,1.61
28,male,1.61,1.21,1.61
29,male,1.61,1.21,1.61
30,male,1.61,1.21,1.61
31,male,1.61,1.21,1.61
32,male,1.61,1.21,1.61
33,male,1.61,1.21,1.61
34,male,1.61,1.21,1.61
35,male,1.61,1.21,1.61
36,male,1.61,1.21,1.61
37,male,1.61,1.21,1.61
38,male,1.61,1.21,1.61
39,male,1.61,1.21,1.61
40,male,1.61,1.21,1.61
41,male,1.61,1.21,1.61
42,male,1.61,1.21,1.61
43,male,1.61,1.21,1.61
44,male,1.61,1.21,1.61
45,male,1.61,1.21,1.61
46,male,1.61,1.21,1.61
47,male,1.61,1.21,1.61
48,male,1.61,1.21,1.61
49,male,1.61,1.21,1.61
50,male,1.61,1.21,1.61
51,male,1.61,1.21,1.61
52,male,1.61,1.21,1.61
53,male,1.61,1.21,1.61
54,male,1.61,1.21,1.61
55,male,1.61,1.21,1.61
56,male,1.61,1.21,1.61
57,male,1.61,1.21,1.61
58,male,1.61,1.21,1.61
59,male,1.61,1.21,1.61
60,male,1.61,1.21,1.61
61,male,1.61,1.21,1.61
62,male,1.61,1.21,1.61
63,male,1.61,1.21,1.61
64,male,1.61,1.21,1.61
65,male,1.61,1.21,1.61
66,male,1.61,1.21,1.61
67,male,1.61,1.21,1.61
68,male,1.61,1.21,1.61
69,male,1.61,1.21,1.61
70,male,1.61,1.21,1.61
71,male,1.61,1.21,1.61
72,male,1.61,1.21,1.61
73,male,1.61,1.21,1.61
74,male,1.61,1.21,1.61
75,male,1.61,1.21,1.61
76,male,1.61,1.21,1.61
77,male,1.61,1.21,1.61
78,male,1.61,1.21,1.61
79,male,1.61,1.21,1.61
80,male,1.61,1.21,1.61
81,male,1.61,1.21,1.61
82,male,1.61,1.21,1.61
83,male,1.61,1.21,1.61
84,male,1.61,1.21,1.61
85,male,1.61,1.21,1.61
86,male,1.61,1.21,1.61
87,male,1.61,1.21,1.61
88,male,1.61,1.21,1.61
89,male,1.61,1.21,1.61
90,male,1.61,1.21,1.61
91,male,1.61,1.21,1.61
92,male,1.61,1.21,1.61
93,male,1.61,1.21,1.61
94,male,1.61,1.21,1.61
95,male,1.61,1.21,1.61
96,male,1.61,1.21,1.61
97,male,1.61,1.21,1.61
98,male,1.61,1.21,1.61
99,male,1.61,1.21,1.61
100,male,1.61,1.21,1.61
101,male,1.61,1.21,1.61
102,male,1.61,1.21,1.61
103,male,1.61,1.21,1.61
104,male,1.61,1.21,1.61
105,male,1.61,1.21,1.61
106,male,1.61,1.21,1.61
107,male,1.61,1.21,1.61
108,male,1.61,1.21,1.61
109,male,1.61,1.21,1.61
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.66,1.21,1.66
21,female,1.66,1.21,1.66
22,female,1.66,1.21,1.66
23,female,1.66,1.21,1.66
24,female,1.66,1.21,1.66
25,female,1.66,1.21,1.66
26,female,1.66,1.21,1.66
27,female,1.66,1.21,1.66
28,female,1.66,1.21,1.66
29,female,1.66,1.21,1.66
30,female,1.66,1.21,1.66
31,female,1.66,1.21,1.66
32,female,1.66,1.21,1.66
33,female,1.66,1.21,1.66
34,female,1.66,1.21,1.66
35,female,1.66,1.21,1.66
36,female,1.66,1.21,1.66
37,female,1.66,1.21,1.66
38,female,1.66,1.21,1.66
39,female,1.66,1.21,1.66
40,female,1.66,1.21,1.66
41,female,1.66,1.21,1.66
42,female,1.66,1.21,1.66
43,female,1.66,1.21,1.66
44,female,1.66,1.21,1.66
45,female,1.66,1.21,1.66
46,female,1.66,1.21,1.66
47,female,1.66,1.21,1.66
48,female,1.66,1.21,1.66
49,female,1.66,1.21,1.66
50,female,1.66,1.21,1.66
51,female,1.66,1.21,1.66
52,female,1.66,1.21,1.66
53,female,1.66,1.21,1.66
54,female,1.66,1.21,1.66
55,female,1.66,1.21,1.66
56,female,1.66,1.21,1.66
57,female,1.66,1.21,1.66
58,female,1.66,1.21,1.66
59,female,1.66,1.21,1.66
60,female,1.66,1.21,1.66
61,female,1.66,1.21,1.66
62,female,1.66,1.21,1.66
63,female,1.66,1.21,1.66
64,female,1.66,1.21,1.66
65,female,1.66,1.21,1.66
66,female,1.66,1.21,1.66
67,female,1.66,1.21,1.66
68,female,1.66,1.21,1.66
69,female,1.66,1.21,1.66
70,female,1.66,1.21,1.66
71,female,1.66,1.21,1.66
72,female,1.66,1.21,1.66
73,female,1.66,1.21,1.66
74,female,1.66,1.21,1.66
75,female,1.66,1.21,1.66
76,female,1.66,1.21,1.66
77,female,1.66,1.21,1.66
78,female,1.66,1.21,1.66
79,female,1.66,1.21,1.66
80,female,1.66,1.21,1.66
81,female,1.66,1.21,1.66
82,female,1.66,1.21,1.66
83,female,1.66,1.21,1.66
84,female,1.66,1.21,1.66
85,female,1.66,1.21,1.66
86,female,1.66,1.21,1.66
87,female,1.66,1.21,1.66
88,female,1.66,1.21,1.66
89,female,1.66,1.21,1.66
90,female,1.66,1.21,1.66
91,female,1.66,1.21,1.66
92,female,1.66,1.21,1.66
93,female,1.66,1.21,1.66
94,female,1.66,1.21,1.66
95,female,1.66,1.21,1.66
96,female,1.66,1.21,1.66
97,female,1.66,1.21,1.66
98,female,1.66,1.21,1.66
99,female,1.66,1.21,1.66
100,female,1.66,1.21,1.66
101,female,1.66,1.21,1.66
102,female,1.66,1.21,1.66
103,female,1.66,1.21,1.66
104,female,1.66,1.21,1.66
105,female,1.66,1.21,1.66
106,female,1.66,1.21,1.66
107,female,1.66,1.21,1.66
108,female,1.66,1.21,1.66
109,female,1.66,1.21,1.66
