age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1.75,1.3045,1.75
21,male,1.75,1.3045,1.75
22,male,1.75,1.3045,1.75
23,male,1.75,1.3045,1.75
24,male,1.75,1.3045,1.75
25,male,1.75,1.3045,1.75
26,male,1.75,1.3045,1.75
27,male,1.75,1.3045,1.75
28,male,1.75,1.3045,1.75
29,male,1.75,1.3045,1.75
30,male,1.75,1.3045,1.75
31,male,1.75,1.3045,1.75
32,male,1.75,1.3045,1.75
33,male,1.75,1.3045,1.75
34,male,1.75,1.3045,1.75
35,male,1.75,1.3045,1.75
36,male,1.75,1.3045,1.75
37,male,1.75,1.3045,1.75
38,male,1.75,1.3045,1.75
39,male,1.75,1.3045,1.75
40,male,1.75,1.3045,1.75
41,male,1.75,1.3045,1.75
42,male,1.75,1.3045,1.75
43,male,1.75,1.3045,1.75
44,male,1.75,1.3045,1.75
45,male,1.75,1.3045,1.75
46,male,1.75,1.3045,1.75
47,male,1.75,1.3045,1.75
48,male,1.75,1.3045,1.75
49,male,1.75,1.3045,1.75
50,male,1.75,1.3045,1.75
51,male,1.75,1.3045,1.75
52,male,1.75,1.3045,1.75
53,male,1.75,1.3045,1.75
54,male,1.75,1.3045,1.75
55,male,1.75,1.3045,1.75
56,male,1.75,1.3045,1.75
57,male,1.75,1.3045,1.75
58,male,1.75,1.3045,1.75
59,male,1.75,1.3045,1.75
60,male,1.75,1.3045,1.75
61,male,1.75,1.3045,1.75
62,male,1.75,1.3045,1.75
63,male,1.75,1.3045,1.75
64,male,1.75,1.3045,1.75
65,male,1.75,1.3045,1.75
66,male,1.75,1.3045,1.75
67,male,1.75,1.3045,1.75
68,male,1.75,1.3045,1.75
69,male,1.75,1.3045,1.75
70,male,1.75,1.3045,1.75
71,male,1.75,1.3045,1.75
72,male,1.75,1.3045,1.75
73,male,1.75,1.3045,1.75
74,male,1.75,1.3045,1.75
75,male,1.75,1.3045,1.75
76,male,1.75,1.3045,1.75
77,male,1.75,1.3045,1.75
78,male,1.75,1.3045,1.75
79,male,1.75,1.3045,1.75
80,male,1.75,1.3045,1.75
81,male,1.75,1.3045,1.75
82,male,1.75,1.3045,1.75
83,male,1.75,1.3045,1.75
84,male,1.75,1.3045,1.75
85,male,1.75,1.3045,1.75
86,male,1.75,1.3045,1.75
87,male,1.75,1.3045,1.75
88,male,1.75,1.3045,1.75
89,male,1.75,1.3045,1.75
90,male,1.75,1.3045,1.75
91,male,1.75,1.3045,1.75
92,male,1.75,1.3045,1.75
93,male,1.75,1.3045,1.75
94,male,1.75,1.3045,1.75
95,male,1.75,1.3045,1.75
96,male,1.75,1.3045,1.75
97,male,1.75,1.3045,1.75
98,male,1.75,1.3045,1.75
99,male,1.75,1.3045,1.75
100,male,1.75,1.3045,1.75
101,male,1.75,1.3045,1.75
102,male,1.75,1.3045,1.75
103,male,1.75,1.3045,1.75
104,male,1.75,1.3045,1.75
105,male,1.75,1.3045,1.75
106,male,1.75,1.3045,1.75
107,male,1.75,1.3045,1.75
108,male,1.75,1.3045,1.75
109,male,1.75,1.3045,1.75
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.75,1.3045,1.75
21,female,1.75,1.3045,1.75
22,female,1.75,1.3045,1.75
23,female,1.75,1.3045,1.75
24,female,1.75,1.3045,1.75
25,female,1.75,1.3045,1.75
26,female,1.75,1.3045,1.75
27,female,1.75,1.3045,1.75
28,female,1.75,1.3045,1.75
29,female,1.75,1.3045,1.75
30,female,1.75,1.3045,1.75
31,female,1.75,1.3045,1.75
32,female,1.75,1.3045,1.75
33,female,1.75,1.3045,1.75
34,female,1.75,1.3045,1.75
35,female,1.75,1.3045,1.75
36,female,1.75,1.3045,1.75
37,female,1.75,1.3045,1.75
38,female,1.75,1.3045,1.75
39,female,1.75,1.3045,1.75
40,female,1.75,1.3045,1.75
41,female,1.75,1.3045,1.75
42,female,1.75,1.3045,1.75
43,female,1.75,1.3045,1.75
44,female,1.75,1.3045,1.75
45,female,1.75,1.3045,1.75
46,female,1.75,1.3045,1.75
47,female,1.75,1.3045,1.75
48,female,1.75,1.3045,1.75
49,female,1.75,1.3045,1.75
50,female,1.75,1.3045,1.75
51,female,1.75,1.3045,1.75
52,female,1.75,1.3045,1.75
53,female,1.75,1.3045,1.75
54,female,1.75,1.3045,1.75
55,female,1.75,1.3045,1.75
56,female,1.75,1.3045,1.75
57,female,1.75,1.3045,1.75
58,female,1.75,1.3045,1.75
59,female,1.75,1.3045,1.75
60,female,1.75,1.3045,1.75
61,female,1.75,1.3045,1.75
62,female,1.75,1.3045,1.75
63,female,1.75,1.3045,1.75
64,female,1.75,1.3045,1.75
65,female,1.75,1.3045,1.75
66,female,1.75,1.3045,1.75
67,female,1.75,1.3045,1.75
68,female,1.75,1.3045,1.75
69,female,1.75,1.3045,1.75
70,female,1.75,1.3045,1.75
71,female,1.75,1.3045,1.75
72,female,1.75,1.3045,1.75
73,female,1.75,1.3045,1.75
74,female,1.75,1.3045,1.75
75,female,1.75,1.3045,1.75
76,female,1.75,1.3045,1.75
77,female,1.75,1.3045,1.75
78,female,1.75,1.3045,1.75
79,female,1.75,1.3045,1.75
80,female,1.75,1.3045,1.75
81,female,1.75,1.3045,1.75
82,female,1.75,1.3045,1.75
83,female,1.75,1.3045,1.75
84,female,1.75,1.3045,1.75
85,female,1.75,1.3045,1.75
86,female,1.75,1.3045,1.75
87,female,1.75,1.3045,1.75
88,female,1.75,1.3045,1.75
89,female,1.75,1.3045,1.75
90,female,1.75,1.3045,1.75
91,female,1.75,1.3045,1.75
92,female,1.75,1.3045,1.75
93,female,1.75,1.3045,1.75
94,female,1.75,1.3045,1.75
95,female,1.75,1.3045,1.75
96,female,1.75,1.3045,1.75
97,female,1.75,1.3045,1.75
98,female,1.75,1.3045,1.75
99,female,1.75,1.3045,1.75
100,female,1.75,1.3045,1.75
101,female,1.75,1.3045,1.75
102,female,1.75,1.3045,1.75
103,female,1.75,1.3045,1.75
104,female,1.75,1.3045,1.75
105,female,1.75,1.3045,1.75
106,female,1.75,1.3045,1.75
107,female,1.75,1.3045,1.75
108,female,1.75,1.3045,1.75
109,female,1.75,1.3045,1.75
