age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,9.28,3.7048000000000005,9.28
21,male,9.28,3.7048000000000005,9.28
22,male,9.28,3.7048000000000005,9.28
23,male,9.28,3.7048000000000005,9.28
24,male,9.28,3.7048000000000005,9.28
25,male,9.28,3.7048000000000005,9.28
26,male,9.28,3.7048000000000005,9.28
27,male,9.28,3.7048000000000005,9.28
28,male,9.28,3.7048000000000005,9.28
29,male,9.28,3.7048000000000005,9.28
30,male,9.28,3.7048000000000005,9.28
31,male,9.28,3.7048000000000005,9.28
32,male,9.28,3.7048000000000005,9.28
33,male,9.28,3.7048000000000005,9.28
34,male,9.28,3.7048000000000005,9.28
35,male,9.28,3.7048000000000005,9.28
36,male,9.28,3.7048000000000005,9.28
37,male,9.28,3.7048000000000005,9.28
38,male,9.28,3.7048000000000005,9.28
39,male,9.28,3.7048000000000005,9.28
40,male,9.28,3.7048000000000005,9.28
41,male,9.28,3.7048000000000005,9.28
42,male,9.28,3.7048000000000005,9.28
43,male,9.28,3.7048000000000005,9.28
44,male,9.28,3.7048000000000005,9.28
45,male,9.28,3.7048000000000005,9.28
46,male,9.28,3.7048000000000005,9.28
47,male,9.28,3.7048000000000005,9.28
48,male,9.28,3.7048000000000005,9.28
49,male,9.28,3.7048000000000005,9.28
50,male,9.28,3.7048000000000005,9.28
51,male,9.28,3.7048000000000005,9.28
52,male,9.28,3.7048000000000005,9.28
53,male,9.28,3.7048000000000005,9.28
54,male,9.28,3.7048000000000005,9.28
55,male,9.28,3.7048000000000005,9.28
56,male,9.28,3.7048000000000005,9.28
57,male,9.28,3.7048000000000005,9.28
58,male,9.28,3.7048000000000005,9.28
59,male,9.28,3.7048000000000005,9.28
60,male,9.28,3.7048000000000005,9.28
61,male,9.28,3.7048000000000005,9.28
62,male,9.28,3.7048000000000005,9.28
63,male,9.28,3.7048000000000005,9.28
64,male,9.28,3.7048000000000005,9.28
65,male,9.28,3.7048000000000005,9.28
66,male,9.28,3.7048000000000005,9.28
67,male,9.28,3.7048000000000005,9.28
68,male,9.28,3.7048000000000005,9.28
69,male,9.28,3.7048000000000005,9.28
70,male,9.28,3.7048000000000005,9.28
71,male,9.28,3.7048000000000005,9.28
72,male,9.28,3.7048000000000005,9.28
73,male,9.28,3.7048000000000005,9.28
74,male,9.28,3.7048000000000005,9.28
75,male,9.28,3.7048000000000005,9.28
76,male,9.28,3.7048000000000005,9.28
77,male,9.28,3.7048000000000005,9.28
78,male,9.28,3.7048000000000005,9.28
79,male,9.28,3.7048000000000005,9.28
80,male,9.28,3.7048000000000005,9.28
81,male,9.28,3.7048000000000005,9.28
82,male,9.28,3.7048000000000005,9.28
83,male,9.28,3.7048000000000005,9.28
84,male,9.28,3.7048000000000005,9.28
85,male,9.28,3.7048000000000005,9.28
86,male,9.28,3.7048000000000005,9.28
87,male,9.28,3.7048000000000005,9.28
88,male,9.28,3.7048000000000005,9.28
89,male,9.28,3.7048000000000005,9.28
90,male,9.28,3.7048000000000005,9.28
91,male,9.28,3.7048000000000005,9.28
92,male,9.28,3.7048000000000005,9.28
93,male,9.28,3.7048000000000005,9.28
94,male,9.28,3.7048000000000005,9.28
95,male,9.28,3.7048000000000005,9.28
96,male,9.28,3.7048000000000005,9.28
97,male,9.28,3.7048000000000005,9.28
98,male,9.28,3.7048000000000005,9.28
99,male,9.28,3.7048000000000005,9.28
100,male,9.28,3.7048000000000005,9.28
101,male,9.28,3.7048000000000005,9.28
102,male,9.28,3.7048000000000005,9.28
103,male,9.28,3.7048000000000005,9.28
104,male,9.28,3.7048000000000005,9.28
105,male,9.28,3.7048000000000005,9.28
106,male,9.28,3.7048000000000005,9.28
107,male,9.28,3.7048000000000005,9.28
108,male,9.28,3.7048000000000005,9.28
109,male,9.28,3.7048000000000005,9.28
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,9.28,3.7048000000000005,9.28
21,female,9.28,3.7048000000000005,9.28
22,female,9.28,3.7048000000000005,9.28
23,female,9.28,3.7048000000000005,9.28
24,female,9.28,3.7048000000000005,9.28
25,female,9.28,3.7048000000000005,9.28
26,female,9.28,3.7048000000000005,9.28
27,female,9.28,3.7048000000000005,9.28
28,female,9.28,3.7048000000000005,9.28
29,female,9.28,3.7048000000000005,9.28
30,female,9.28,3.7048000000000005,9.28
31,female,9.28,3.7048000000000005,9.28
32,female,9.28,3.7048000000000005,9.28
33,female,9.28,3.7048000000000005,9.28
34,female,9.28,3.7048000000000005,9.28
35,female,9.28,3.7048000000000005,9.28
36,female,9.28,3.7048000000000005,9.28
37,female,9.28,3.7048000000000005,9.28
38,female,9.28,3.7048000000000005,9.28
39,female,9.28,3.7048000000000005,9.28
40,female,9.28,3.7048000000000005,9.28
41,female,9.28,3.7048000000000005,9.28
42,female,9.28,3.7048000000000005,9.28
43,female,9.28,3.7048000000000005,9.28
44,female,9.28,3.7048000000000005,9.28
45,female,9.28,3.7048000000000005,9.28
46,female,9.28,3.7048000000000005,9.28
47,female,9.28,3.7048000000000005,9.28
48,female,9.28,3.7048000000000005,9.28
49,female,9.28,3.7048000000000005,9.28
50,female,9.28,3.7048000000000005,9.28
51,female,9.28,3.7048000000000005,9.28
52,female,9.28,3.7048000000000005,9.28
53,female,9.28,3.7048000000000005,9.28
54,female,9.28,3.7048000000000005,9.28
55,female,9.28,3.7048000000000005,9.28
56,female,9.28,3.7048000000000005,9.28
57,female,9.28,3.7048000000000005,9.28
58,female,9.28,3.7048000000000005,9.28
59,female,9.28,3.7048000000000005,9.28
60,female,9.28,3.7048000000000005,9.28
61,female,9.28,3.7048000000000005,9.28
62,female,9.28,3.7048000000000005,9.28
63,female,9.28,3.7048000000000005,9.28
64,female,9.28,3.7048000000000005,9.28
65,female,9.28,3.7048000000000005,9.28
66,female,9.28,3.7048000000000005,9.28
67,female,9.28,3.7048000000000005,9.28
68,female,9.28,3.7048000000000005,9.28
69,female,9.28,3.7048000000000005,9.28
70,female,9.28,3.7048000000000005,9.28
71,female,9.28,3.7048000000000005,9.28
72,female,9.28,3.7048000000000005,9.28
73,female,9.28,3.7048000000000005,9.28
74,female,9.28,3.7048000000000005,9.28
75,female,9.28,3.7048000000000005,9.28
76,female,9.28,3.7048000000000005,9.28
77,female,9.28,3.7048000000000005,9.28
78,female,9.28,3.7048000000000005,9.28
79,female,9.28,3.7048000000000005,9.28
80,female,9.28,3.7048000000000005,9.28
81,female,9.28,3.7048000000000005,9.28
82,female,9.28,3.7048000000000005,9.28
83,female,9.28,3.7048000000000005,9.28
84,female,9.28,3.7048000000000005,9.28
85,female,9.28,3.7048000000000005,9.28
86,female,9.28,3.7048000000000005,9.28
87,female,9.28,3.7048000000000005,9.28
88,female,9.28,3.7048000000000005,9.28
89,female,9.28,3.7048000000000005,9.28
90,female,9.28,3.7048000000000005,9.28
91,female,9.28,3.7048000000000005,9.28
92,female,9.28,3.7048000000000005,9.28
93,female,9.28,3.7048000000000005,9.28
94,female,9.28,3.7048000000000005,9.28
95,female,9.28,3.7048000000000005,9.28
96,female,9.28,3.7048000000000005,9.28
97,female,9.28,3.7048000000000005,9.28
98,female,9.28,3.7048000000000005,9.28
99,female,9.28,3.7048000000000005,9.28
100,female,9.28,3.7048000000000005,9.28
101,female,9.28,3.7048000000000005,9.28
102,female,9.28,3.7048000000000005,9.28
103,female,9.28,3.7048000000000005,9.28
104,female,9.28,3.7048000000000005,9.28
105,female,9.28,3.7048000000000005,9.28
106,female,9.28,3.7048000000000005,9.28
107,female,9.28,3.7048000000000005,9.28
108,female,9.28,3.7048000000000005,9.28
109,female,9.28,3.7048000000000005,9.28
