age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,2.14,1.31464,2.14
21,male,2.14,1.31464,2.14
22,male,2.14,1.31464,2.14
23,male,2.14,1.31464,2.14
24,male,2.14,1.31464,2.14
25,male,2.14,1.31464,2.14
26,male,2.14,1.31464,2.14
27,male,2.14,1.31464,2.14
28,male,2.14,1.31464,2.14
29,male,2.14,1.31464,2.14
30,male,2.14,1.31464,2.14
31,male,2.14,1.31464,2.14
32,male,2.14,1.31464,2.14
33,male,2.14,1.31464,2.14
34,male,2.14,1.31464,2.14
35,male,2.14,1.31464,2.14
36,male,2.14,1.31464,2.14
37,male,2.14,1.31464,2.14
38,male,2.14,1.31464,2.14
39,male,2.14,1.31464,2.14
40,male,2.14,1.31464,2.14
41,male,2.14,1.31464,2.14
42,male,2.14,1.31464,2.14
43,male,2.14,1.31464,2.14
44,male,2.14,1.31464,2.14
45,male,2.14,1.31464,2.14
46,male,2.14,1.31464,2.14
47,male,2.14,1.31464,2.14
48,male,2.14,1.31464,2.14
49,male,2.14,1.31464,2.14
50,male,2.14,1.31464,2.14
51,male,2.14,1.31464,2.14
52,male,2.14,1.31464,2.14
53,male,2.14,1.31464,2.14
54,male,2.14,1.31464,2.14
55,male,2.14,1.31464,2.14
56,male,2.14,1.31464,2.14
57,male,2.14,1.31464,2.14
58,male,2.14,1.31464,2.14
59,male,2.14,1.31464,2.14
60,male,2.14,1.31464,2.14
61,male,2.14,1.31464,2.14
62,male,2.14,1.31464,2.14
63,male,2.14,1.31464,2.14
64,male,2.14,1.31464,2.14
65,male,2.14,1.31464,2.14
66,male,2.14,1.31464,2.14
67,male,2.14,1.31464,2.14
68,male,2.14,1.31464,2.14
69,male,2.14,1.31464,2.14
70,male,2.14,1.31464,2.14
71,male,2.14,1.31464,2.14
72,male,2.14,1.31464,2.14
73,male,2.14,1.31464,2.14
74,male,2.14,1.31464,2.14
75,male,2.14,1.31464,2.14
76,male,2.14,1.31464,2.14
77,male,2.14,1.31464,2.14
78,male,2.14,1.31464,2.14
79,male,2.14,1.31464,2.14
80,male,2.14,1.31464,2.14
81,male,2.14,1.31464,2.14
82,male,2.14,1.31464,2.14
83,male,2.14,1.31464,2.14
84,male,2.14,1.31464,2.14
85,male,2.14,1.31464,2.14
86,male,2.14,1.31464,2.14
87,male,2.14,1.31464,2.14
88,male,2.14,1.31464,2.14
89,male,2.14,1.31464,2.14
90,male,2.14,1.31464,2.14
91,male,2.14,1.31464,2.14
92,male,2.14,1.31464,2.14
93,male,2.14,1.31464,2.14
94,male,2.14,1.31464,2.14
95,male,2.14,1.31464,2.14
96,male,2.14,1.31464,2.14
97,male,2.14,1.31464,2.14
98,male,2.14,1.31464,2.14
99,male,2.14,1.31464,2.14
100,male,2.14,1.31464,2.14
101,male,2.14,1.31464,2.14
102,male,2.14,1.31464,2.14
103,male,2.14,1.31464,2.14
104,male,2.14,1.31464,2.14
105,male,2.14,1.31464,2.14
106,male,2.14,1.31464,2.14
107,male,2.14,1.31464,2.14
108,male,2.14,1.31464,2.14
109,male,2.14,1.31464,2.14
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,2.14,1.31464,2.14
21,female,2.14,1.31464,2.14
22,female,2.14,1.31464,2.14
23,female,2.14,1.31464,2.14
24,female,2.14,1.31464,2.14
25,female,2.14,1.31464,2.14
26,female,2.14,1.31464,2.14
27,female,2.14,1.31464,2.14
28,female,2.14,1.31464,2.14
29,female,2.14,1.31464,2.14
30,female,2.14,1.31464,2.14
31,female,2.14,1.31464,2.14
32,female,2.14,1.31464,2.14
33,female,2.14,1.31464,2.14
34,female,2.14,1.31464,2.14
35,female,2.14,1.31464,2.14
36,female,2.14,1.31464,2.14
37,female,2.14,1.31464,2.14
38,female,2.14,1.31464,2.14
39,female,2.14,1.31464,2.14
40,female,2.14,1.31464,2.14
41,female,2.14,1.31464,2.14
42,female,2.14,1.31464,2.14
43,female,2.14,1.31464,2.14
44,female,2.14,1.31464,2.14
45,female,2.14,1.31464,2.14
46,female,2.14,1.31464,2.14
47,female,2.14,1.31464,2.14
48,female,2.14,1.31464,2.14
49,female,2.14,1.31464,2.14
50,female,2.14,1.31464,2.14
51,female,2.14,1.31464,2.14
52,female,2.14,1.31464,2.14
53,female,2.14,1.31464,2.14
54,female,2.14,1.31464,2.14
55,female,2.14,1.31464,2.14
56,female,2.14,1.31464,2.14
57,female,2.14,1.31464,2.14
58,female,2.14,1.31464,2.14
59,female,2.14,1.31464,2.14
60,female,2.14,1.31464,2.14
61,female,2.14,1.31464,2.14
62,female,2.14,1.31464,2.14
63,female,2.14,1.31464,2.14
64,female,2.14,1.31464,2.14
65,female,2.14,1.31464,2.14
66,female,2.14,1.31464,2.14
67,female,2.14,1.31464,2.14
68,female,2.14,1.31464,2.14
69,female,2.14,1.31464,2.14
70,female,2.14,1.31464,2.14
71,female,2.14,1.31464,2.14
72,female,2.14,1.31464,2.14
73,female,2.14,1.31464,2.14
74,female,2.14,1.31464,2.14
75,female,2.14,1.31464,2.14
76,female,2.14,1.31464,2.14
77,female,2.14,1.31464,2.14
78,female,2.14,1.31464,2.14
79,female,2.14,1.31464,2.14
80,female,2.14,1.31464,2.14
81,female,2.14,1.31464,2.14
82,female,2.14,1.31464,2.14
83,female,2.14,1.31464,2.14
84,female,2.14,1.31464,2.14
85,female,2.14,1.31464,2.14
86,female,2.14,1.31464,2.14
87,female,2.14,1.31464,2.14
88,female,2.14,1.31464,2.14
89,female,2.14,1.31464,2.14
90,female,2.14,1.31464,2.14
91,female,2.14,1.31464,2.14
92,female,2.14,1.31464,2.14
93,female,2.14,1.31464,2.14
94,female,2.14,1.31464,2.14
95,female,2.14,1.31464,2.14
96,female,2.14,1.31464,2.14
97,female,2.14,1.31464,2.14
98,female,2.14,1.31464,2.14
99,female,2.14,1.31464,2.14
100,female,2.14,1.31464,2.14
101,female,2.14,1.31464,2.14
102,female,2.14,1.31464,2.14
103,female,2.14,1.31464,2.14
104,female,2.14,1.31464,2.14
105,female,2.14,1.31464,2.14
106,female,2.14,1.31464,2.14
107,female,2.14,1.31464,2.14
108,female,2.14,1.31464,2.14
109,female,2.14,1.31464,2.14
