age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1.68,1.18768,1.68
21,male,1.68,1.18768,1.68
22,male,1.68,1.18768,1.68
23,male,1.68,1.18768,1.68
24,male,1.68,1.18768,1.68
25,male,1.68,1.18768,1.68
26,male,1.68,1.18768,1.68
27,male,1.68,1.18768,1.68
28,male,1.68,1.18768,1.68
29,male,1.68,1.18768,1.68
30,male,1.68,1.18768,1.68
31,male,1.68,1.18768,1.68
32,male,1.68,1.18768,1.68
33,male,1.68,1.18768,1.68
34,male,1.68,1.18768,1.68
35,male,1.68,1.18768,1.68
36,male,1.68,1.18768,1.68
37,male,1.68,1.18768,1.68
38,male,1.68,1.18768,1.68
39,male,1.68,1.18768,1.68
40,male,1.68,1.18768,1.68
41,male,1.68,1.18768,1.68
42,male,1.68,1.18768,1.68
43,male,1.68,1.18768,1.68
44,male,1.68,1.18768,1.68
45,male,1.68,1.18768,1.68
46,male,1.68,1.18768,1.68
47,male,1.68,1.18768,1.68
48,male,1.68,1.18768,1.68
49,male,1.68,1.18768,1.68
50,male,1.68,1.18768,1.68
51,male,1.68,1.18768,1.68
52,male,1.68,1.18768,1.68
53,male,1.68,1.18768,1.68
54,male,1.68,1.18768,1.68
55,male,1.68,1.18768,1.68
56,male,1.68,1.18768,1.68
57,male,1.68,1.18768,1.68
58,male,1.68,1.18768,1.68
59,male,1.68,1.18768,1.68
60,male,1.68,1.18768,1.68
61,male,1.68,1.18768,1.68
62,male,1.68,1.18768,1.68
63,male,1.68,1.18768,1.68
64,male,1.68,1.18768,1.68
65,male,1.68,1.18768,1.68
66,male,1.68,1.18768,1.68
67,male,1.68,1.18768,1.68
68,male,1.68,1.18768,1.68
69,male,1.68,1.18768,1.68
70,male,1.68,1.18768,1.68
71,male,1.68,1.18768,1.68
72,male,1.68,1.18768,1.68
73,male,1.68,1.18768,1.68
74,male,1.68,1.18768,1.68
75,male,1.68,1.18768,1.68
76,male,1.68,1.18768,1.68
77,male,1.68,1.18768,1.68
78,male,1.68,1.18768,1.68
79,male,1.68,1.18768,1.68
80,male,1.68,1.18768,1.68
81,male,1.68,1.18768,1.68
82,male,1.68,1.18768,1.68
83,male,1.68,1.18768,1.68
84,male,1.68,1.18768,1.68
85,male,1.68,1.18768,1.68
86,male,1.68,1.18768,1.68
87,male,1.68,1.18768,1.68
88,male,1.68,1.18768,1.68
89,male,1.68,1.18768,1.68
90,male,1.68,1.18768,1.68
91,male,1.68,1.18768,1.68
92,male,1.68,1.18768,1.68
93,male,1.68,1.18768,1.68
94,male,1.68,1.18768,1.68
95,male,1.68,1.18768,1.68
96,male,1.68,1.18768,1.68
97,male,1.68,1.18768,1.68
98,male,1.68,1.18768,1.68
99,male,1.68,1.18768,1.68
100,male,1.68,1.18768,1.68
101,male,1.68,1.18768,1.68
102,male,1.68,1.18768,1.68
103,male,1.68,1.18768,1.68
104,male,1.68,1.18768,1.68
105,male,1.68,1.18768,1.68
106,male,1.68,1.18768,1.68
107,male,1.68,1.18768,1.68
108,male,1.68,1.18768,1.68
109,male,1.68,1.18768,1.68
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.68,1.18768,1.68
21,female,1.68,1.18768,1.68
22,female,1.68,1.18768,1.68
23,female,1.68,1.18768,1.68
24,female,1.68,1.18768,1.68
25,female,1.68,1.18768,1.68
26,female,1.68,1.18768,1.68
27,female,1.68,1.18768,1.68
28,female,1.68,1.18768,1.68
29,female,1.68,1.18768,1.68
30,female,1.68,1.18768,1.68
31,female,1.68,1.18768,1.68
32,female,1.68,1.18768,1.68
33,female,1.68,1.18768,1.68
34,female,1.68,1.18768,1.68
35,female,1.68,1.18768,1.68
36,female,1.68,1.18768,1.68
37,female,1.68,1.18768,1.68
38,female,1.68,1.18768,1.68
39,female,1.68,1.18768,1.68
40,female,1.68,1.18768,1.68
41,female,1.68,1.18768,1.68
42,female,1.68,1.18768,1.68
43,female,1.68,1.18768,1.68
44,female,1.68,1.18768,1.68
45,female,1.68,1.18768,1.68
46,female,1.68,1.18768,1.68
47,female,1.68,1.18768,1.68
48,female,1.68,1.18768,1.68
49,female,1.68,1.18768,1.68
50,female,1.68,1.18768,1.68
51,female,1.68,1.18768,1.68
52,female,1.68,1.18768,1.68
53,female,1.68,1.18768,1.68
54,female,1.68,1.18768,1.68
55,female,1.68,1.18768,1.68
56,female,1.68,1.18768,1.68
57,female,1.68,1.18768,1.68
58,female,1.68,1.18768,1.68
59,female,1.68,1.18768,1.68
60,female,1.68,1.18768,1.68
61,female,1.68,1.18768,1.68
62,female,1.68,1.18768,1.68
63,female,1.68,1.18768,1.68
64,female,1.68,1.18768,1.68
65,female,1.68,1.18768,1.68
66,female,1.68,1.18768,1.68
67,female,1.68,1.18768,1.68
68,female,1.68,1.18768,1.68
69,female,1.68,1.18768,1.68
70,female,1.68,1.18768,1.68
71,female,1.68,1.18768,1.68
72,female,1.68,1.18768,1.68
73,female,1.68,1.18768,1.68
74,female,1.68,1.18768,1.68
75,female,1.68,1.18768,1.68
76,female,1.68,1.18768,1.68
77,female,1.68,1.18768,1.68
78,female,1.68,1.18768,1.68
79,female,1.68,1.18768,1.68
80,female,1.68,1.18768,1.68
81,female,1.68,1.18768,1.68
82,female,1.68,1.18768,1.68
83,female,1.68,1.18768,1.68
84,female,1.68,1.18768,1.68
85,female,1.68,1.18768,1.68
86,female,1.68,1.18768,1.68
87,female,1.68,1.18768,1.68
88,female,1.68,1.18768,1.68
89,female,1.68,1.18768,1.68
90,female,1.68,1.18768,1.68
91,female,1.68,1.18768,1.68
92,female,1.68,1.18768,1.68
93,female,1.68,1.18768,1.68
94,female,1.68,1.18768,1.68
95,female,1.68,1.18768,1.68
96,female,1.68,1.18768,1.68
97,female,1.68,1.18768,1.68
98,female,1.68,1.18768,1.68
99,female,1.68,1.18768,1.68
100,female,1.68,1.18768,1.68
101,female,1.68,1.18768,1.68
102,female,1.68,1.18768,1.68
103,female,1.68,1.18768,1.68
104,female,1.68,1.18768,1.68
105,female,1.68,1.18768,1.68
106,female,1.68,1.18768,1.68
107,female,1.68,1.18768,1.68
108,female,1.68,1.18768,1.68
109,female,1.68,1.18768,1.68
