age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1.42,1.11592,1.42
21,male,1.42,1.11592,1.42
22,male,1.42,1.11592,1.42
23,male,1.42,1.11592,1.42
24,male,1.42,1.11592,1.42
25,male,1.42,1.11592,1.42
26,male,1.42,1.11592,1.42
27,male,1.42,1.11592,1.42
28,male,1.42,1.11592,1.42
29,male,1.42,1.11592,1.42
30,male,1.42,1.11592,1.42
31,male,1.42,1.11592,1.42
32,male,1.42,1.11592,1.42
33,male,1.42,1.11592,1.42
34,male,1.42,1.11592,1.42
35,male,1.42,1.11592,1.42
36,male,1.42,1.11592,1.42
37,male,1.42,1.11592,1.42
38,male,1.42,1.11592,1.42
39,male,1.42,1.11592,1.42
40,male,1.42,1.11592,1.42
41,male,1.42,1.11592,1.42
42,male,1.42,1.11592,1.42
43,male,1.42,1.11592,1.42
44,male,1.42,1.11592,1.42
45,male,1.42,1.11592,1.42
46,male,1.42,1.11592,1.42
47,male,1.42,1.11592,1.42
48,male,1.42,1.11592,1.42
49,male,1.42,1.11592,1.42
50,male,1.42,1.11592,1.42
51,male,1.42,1.11592,1.42
52,male,1.42,1.11592,1.42
53,male,1.42,1.11592,1.42
54,male,1.42,1.11592,1.42
55,male,1.42,1.11592,1.42
56,male,1.42,1.11592,1.42
57,male,1.42,1.11592,1.42
58,male,1.42,1.11592,1.42
59,male,1.42,1.11592,1.42
60,male,1.42,1.11592,1.42
61,male,1.42,1.11592,1.42
62,male,1.42,1.11592,1.42
63,male,1.42,1.11592,1.42
64,male,1.42,1.11592,1.42
65,male,1.42,1.11592,1.42
66,male,1.42,1.11592,1.42
67,male,1.42,1.11592,1.42
68,male,1.42,1.11592,1.42
69,male,1.42,1.11592,1.42
70,male,1.42,1.11592,1.42
71,male,1.42,1.11592,1.42
72,male,1.42,1.11592,1.42
73,male,1.42,1.11592,1.42
74,male,1.42,1.11592,1.42
75,male,1.42,1.11592,1.42
76,male,1.42,1.11592,1.42
77,male,1.42,1.11592,1.42
78,male,1.42,1.11592,1.42
79,male,1.42,1.11592,1.42
80,male,1.42,1.11592,1.42
81,male,1.42,1.11592,1.42
82,male,1.42,1.11592,1.42
83,male,1.42,1.11592,1.42
84,male,1.42,1.11592,1.42
85,male,1.42,1.11592,1.42
86,male,1.42,1.11592,1.42
87,male,1.42,1.11592,1.42
88,male,1.42,1.11592,1.42
89,male,1.42,1.11592,1.42
90,male,1.42,1.11592,1.42
91,male,1.42,1.11592,1.42
92,male,1.42,1.11592,1.42
93,male,1.42,1.11592,1.42
94,male,1.42,1.11592,1.42
95,male,1.42,1.11592,1.42
96,male,1.42,1.11592,1.42
97,male,1.42,1.11592,1.42
98,male,1.42,1.11592,1.42
99,male,1.42,1.11592,1.42
100,male,1.42,1.11592,1.42
101,male,1.42,1.11592,1.42
102,male,1.42,1.11592,1.42
103,male,1.42,1.11592,1.42
104,male,1.42,1.11592,1.42
105,male,1.42,1.11592,1.42
106,male,1.42,1.11592,1.42
107,male,1.42,1.11592,1.42
108,male,1.42,1.11592,1.42
109,male,1.42,1.11592,1.42
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.42,1.11592,1.42
21,female,1.42,1.11592,1.42
22,female,1.42,1.11592,1.42
23,female,1.42,1.11592,1.42
24,female,1.42,1.11592,1.42
25,female,1.42,1.11592,1.42
26,female,1.42,1.11592,1.42
27,female,1.42,1.11592,1.42
28,female,1.42,1.11592,1.42
29,female,1.42,1.11592,1.42
30,female,1.42,1.11592,1.42
31,female,1.42,1.11592,1.42
32,female,1.42,1.11592,1.42
33,female,1.42,1.11592,1.42
34,female,1.42,1.11592,1.42
35,female,1.42,1.11592,1.42
36,female,1.42,1.11592,1.42
37,female,1.42,1.11592,1.42
38,female,1.42,1.11592,1.42
39,female,1.42,1.11592,1.42
40,female,1.42,1.11592,1.42
41,female,1.42,1.11592,1.42
42,female,1.42,1.11592,1.42
43,female,1.42,1.11592,1.42
44,female,1.42,1.11592,1.42
45,female,1.42,1.11592,1.42
46,female,1.42,1.11592,1.42
47,female,1.42,1.11592,1.42
48,female,1.42,1.11592,1.42
49,female,1.42,1.11592,1.42
50,female,1.42,1.11592,1.42
51,female,1.42,1.11592,1.42
52,female,1.42,1.11592,1.42
53,female,1.42,1.11592,1.42
54,female,1.42,1.11592,1.42
55,female,1.42,1.11592,1.42
56,female,1.42,1.11592,1.42
57,female,1.42,1.11592,1.42
58,female,1.42,1.11592,1.42
59,female,1.42,1.11592,1.42
60,female,1.42,1.11592,1.42
61,female,1.42,1.11592,1.42
62,female,1.42,1.11592,1.42
63,female,1.42,1.11592,1.42
64,female,1.42,1.11592,1.42
65,female,1.42,1.11592,1.42
66,female,1.42,1.11592,1.42
67,female,1.42,1.11592,1.42
68,female,1.42,1.11592,1.42
69,female,1.42,1.11592,1.42
70,female,1.42,1.11592,1.42
71,female,1.42,1.11592,1.42
72,female,1.42,1.11592,1.42
73,female,1.42,1.11592,1.42
74,female,1.42,1.11592,1.42
75,female,1.42,1.11592,1.42
76,female,1.42,1.11592,1.42
77,female,1.42,1.11592,1.42
78,female,1.42,1.11592,1.42
79,female,1.42,1.11592,1.42
80,female,1.42,1.11592,1.42
81,female,1.42,1.11592,1.42
82,female,1.42,1.11592,1.42
83,female,1.42,1.11592,1.42
84,female,1.42,1.11592,1.42
85,female,1.42,1.11592,1.42
86,female,1.42,1.11592,1.42
87,female,1.42,1.11592,1.42
88,female,1.42,1.11592,1.42
89,female,1.42,1.11592,1.42
90,female,1.42,1.11592,1.42
91,female,1.42,1.11592,1.42
92,female,1.42,1.11592,1.42
93,female,1.42,1.11592,1.42
94,female,1.42,1.11592,1.42
95,female,1.42,1.11592,1.42
96,female,1.42,1.11592,1.42
97,female,1.42,1.11592,1.42
98,female,1.42,1.11592,1.42
99,female,1.42,1.11592,1.42
100,female,1.42,1.11592,1.42
101,female,1.42,1.11592,1.42
102,female,1.42,1.11592,1.42
103,female,1.42,1.11592,1.42
104,female,1.42,1.11592,1.42
105,female,1.42,1.11592,1.42
106,female,1.42,1.11592,1.42
107,female,1.42,1.11592,1.42
108,female,1.42,1.11592,1.42
109,female,1.42,1.11592,1.42
