age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,2.52,1.52744,2.52
21,male,2.52,1.52744,2.52
22,male,2.52,1.52744,2.52
23,male,2.52,1.52744,2.52
24,male,2.52,1.52744,2.52
25,male,2.52,1.52744,2.52
26,male,2.52,1.52744,2.52
27,male,2.52,1.52744,2.52
28,male,2.52,1.52744,2.52
29,male,2.52,1.52744,2.52
30,male,2.52,1.52744,2.52
31,male,2.52,1.52744,2.52
32,male,2.52,1.52744,2.52
33,male,2.52,1.52744,2.52
34,male,2.52,1.52744,2.52
35,male,2.52,1.52744,2.52
36,male,2.52,1.52744,2.52
37,male,2.52,1.52744,2.52
38,male,2.52,1.52744,2.52
39,male,2.52,1.52744,2.52
40,male,2.52,1.52744,2.52
41,male,2.52,1.52744,2.52
42,male,2.52,1.52744,2.52
43,male,2.52,1.52744,2.52
44,male,2.52,1.52744,2.52
45,male,2.52,1.52744,2.52
46,male,2.52,1.52744,2.52
47,male,2.52,1.52744,2.52
48,male,2.52,1.52744,2.52
49,male,2.52,1.52744,2.52
50,male,2.52,1.52744,2.52
51,male,2.52,1.52744,2.52
52,male,2.52,1.52744,2.52
53,male,2.52,1.52744,2.52
54,male,2.52,1.52744,2.52
55,male,2.52,1.52744,2.52
56,male,2.52,1.52744,2.52
57,male,2.52,1.52744,2.52
58,male,2.52,1.52744,2.52
59,male,2.52,1.52744,2.52
60,male,2.52,1.52744,2.52
61,male,2.52,1.52744,2.52
62,male,2.52,1.52744,2.52
63,male,2.52,1.52744,2.52
64,male,2.52,1.52744,2.52
65,male,2.52,1.52744,2.52
66,male,2.52,1.52744,2.52
67,male,2.52,1.52744,2.52
68,male,2.52,1.52744,2.52
69,male,2.52,1.52744,2.52
70,male,2.52,1.52744,2.52
71,male,2.52,1.52744,2.52
72,male,2.52,1.52744,2.52
73,male,2.52,1.52744,2.52
74,male,2.52,1.52744,2.52
75,male,2.52,1.52744,2.52
76,male,2.52,1.52744,2.52
77,male,2.52,1.52744,2.52
78,male,2.52,1.52744,2.52
79,male,2.52,1.52744,2.52
80,male,2.52,1.52744,2.52
81,male,2.52,1.52744,2.52
82,male,2.52,1.52744,2.52
83,male,2.52,1.52744,2.52
84,male,2.52,1.52744,2.52
85,male,2.52,1.52744,2.52
86,male,2.52,1.52744,2.52
87,male,2.52,1.52744,2.52
88,male,2.52,1.52744,2.52
89,male,2.52,1.52744,2.52
90,male,2.52,1.52744,2.52
91,male,2.52,1.52744,2.52
92,male,2.52,1.52744,2.52
93,male,2.52,1.52744,2.52
94,male,2.52,1.52744,2.52
95,male,2.52,1.52744,2.52
96,male,2.52,1.52744,2.52
97,male,2.52,1.52744,2.52
98,male,2.52,1.52744,2.52
99,male,2.52,1.52744,2.52
100,male,2.52,1.52744,2.52
101,male,2.52,1.52744,2.52
102,male,2.52,1.52744,2.52
103,male,2.52,1.52744,2.52
104,male,2.52,1.52744,2.52
105,male,2.52,1.52744,2.52
106,male,2.52,1.52744,2.52
107,male,2.52,1.52744,2.52
108,male,2.52,1.52744,2.52
109,male,2.52,1.52744,2.52
0,female,2.52,1,2.52
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1,1.52744,1
21,female,2.2,1.52744,2.2
22,female,2.2,1.52744,2.2
23,female,2.2,1.52744,2.2
24,female,2.2,1.52744,2.2
25,female,2.2,1.52744,2.2
26,female,2.2,1.52744,2.2
27,female,2.2,1.52744,2.2
28,female,2.2,1.52744,2.2
29,female,2.2,1.52744,2.2
30,female,2.2,1.52744,2.2
31,female,2.2,1.52744,2.2
32,female,2.2,1.52744,2.2
33,female,2.2,1.52744,2.2
34,female,2.2,1.52744,2.2
35,female,2.2,1.52744,2.2
36,female,2.2,1.52744,2.2
37,female,2.2,1.52744,2.2
38,female,2.2,1.52744,2.2
39,female,2.2,1.52744,2.2
40,female,2.2,1.52744,2.2
41,female,2.2,1.52744,2.2
42,female,2.2,1.52744,2.2
43,female,2.2,1.52744,2.2
44,female,2.2,1.52744,2.2
45,female,2.2,1.52744,2.2
46,female,2.2,1.52744,2.2
47,female,2.2,1.52744,2.2
48,female,2.2,1.52744,2.2
49,female,2.2,1.52744,2.2
50,female,2.2,1.52744,2.2
51,female,2.2,1.52744,2.2
52,female,2.2,1.52744,2.2
53,female,2.2,1.52744,2.2
54,female,2.2,1.52744,2.2
55,female,2.2,1.52744,2.2
56,female,2.2,1.52744,2.2
57,female,2.2,1.52744,2.2
58,female,2.2,1.52744,2.2
59,female,2.2,1.52744,2.2
60,female,2.2,1.52744,2.2
61,female,2.2,1.52744,2.2
62,female,2.2,1.52744,2.2
63,female,2.2,1.52744,2.2
64,female,2.2,1.52744,2.2
65,female,2.2,1.52744,2.2
66,female,2.2,1.52744,2.2
67,female,2.2,1.52744,2.2
68,female,2.2,1.52744,2.2
69,female,2.2,1.52744,2.2
70,female,2.2,1.52744,2.2
71,female,2.2,1.52744,2.2
72,female,2.2,1.52744,2.2
73,female,2.2,1.52744,2.2
74,female,2.2,1.52744,2.2
75,female,2.2,1.52744,2.2
76,female,2.2,1.52744,2.2
77,female,2.2,1.52744,2.2
78,female,2.2,1.52744,2.2
79,female,2.2,1.52744,2.2
80,female,2.2,1.52744,2.2
81,female,2.2,1.52744,2.2
82,female,2.2,1.52744,2.2
83,female,2.2,1.52744,2.2
84,female,2.2,1.52744,2.2
85,female,2.2,1.52744,2.2
86,female,2.2,1.52744,2.2
87,female,2.2,1.52744,2.2
88,female,2.2,1.52744,2.2
89,female,2.2,1.52744,2.2
90,female,2.2,1.52744,2.2
91,female,2.2,1.52744,2.2
92,female,2.2,1.52744,2.2
93,female,2.2,1.52744,2.2
94,female,2.2,1.52744,2.2
95,female,2.2,1.52744,2.2
96,female,2.2,1.52744,2.2
97,female,2.2,1.52744,2.2
98,female,2.2,1.52744,2.2
99,female,2.2,1.52744,2.2
100,female,2.2,1.52744,2.2
101,female,2.2,1.52744,2.2
102,female,2.2,1.52744,2.2
103,female,2.2,1.52744,2.2
104,female,2.2,1.52744,2.2
105,female,2.2,1.52744,2.2
106,female,2.2,1.52744,2.2
107,female,2.2,1.52744,2.2
108,female,2.2,1.52744,2.2
109,female,2.2,1.52744,2.2
