age,sex,excess_mortality,disability_rate,income
0,female,0.000521531,0.000679559,0
0,male,0.000502438,0.000978325,0
1,female,2.40E-05,0.000562502,0
1,male,2.27E-05,0.00055892,0
2,female,2.40E-05,0.000562502,0
2,male,2.27E-05,0.00055892,0
3,female,2.40E-05,0.000562502,0
3,male,2.27E-05,0.00055892,0
4,female,2.40E-05,0.000562502,0
4,male,2.27E-05,0.00055892,0
5,female,0,0.000222568,0
5,male,0,0.000184633,0
6,female,0,0.000222568,0
6,male,0,0.000184633,0
7,female,0,0.000222568,0
7,male,0,0.000184633,0
8,female,0,0.000222568,0
8,male,0,0.000184633,0
9,female,0,0.000222568,0
9,male,0,0.000184633,0
10,female,0,8.11E-05,0
10,male,0,0.000185742,0
11,female,0,8.11E-05,0
11,male,0,0.000185742,0
12,female,0,8.11E-05,0
12,male,0,0.000185742,0
13,female,0,8.11E-05,0
13,male,0,0.000185742,0
14,female,0,8.11E-05,0
14,male,0,0.000185742,0
15,female,0,0.000266216,0
15,male,0,0.000184534,0
16,female,0,0.000266216,0
16,male,0,0.000184534,0
17,female,0,0.000266216,0
17,male,0,0.000184534,0
18,female,0,0.000266216,0
18,male,0,0.000184534,0
19,female,0,0.000266216,0
19,male,0,0.000184534,0
20,female,0,0.000297599,0
20,male,0,0.000240127,0
21,female,0,0.000297599,0
21,male,0,0.000240127,0
22,female,0,0.000297599,0
22,male,0,0.000240127,0
23,female,0,0.000297599,0
23,male,0,0.000240127,0
24,female,0,0.000297599,0
24,male,0,0.000240127,0
25,female,0,0.000316791,0
25,male,0,0.000311809,0
26,female,0,0.000316791,0
26,male,0,0.000311809,0
27,female,0,0.000316791,0
27,male,0,0.000311809,0
28,female,0,0.000316791,0
28,male,0,0.000311809,0
29,female,0,0.000316791,0
29,male,0,0.000311809,0
30,female,0,0.000286655,0
30,male,0,0.000232443,0
31,female,0,0.000286655,0
31,male,0,0.000232443,0
32,female,0,0.000286655,0
32,male,0,0.000232443,0
33,female,0,0.000286655,0
33,male,0,0.000232443,0
34,female,0,0.000286655,0
34,male,0,0.000232443,0
35,female,0,0.000296732,0
35,male,0,0.000296447,0
36,female,0,0.000296732,0
36,male,0,0.000296447,0
37,female,0,0.000296732,0
37,male,0,0.000296447,0
38,female,0,0.000296732,0
38,male,0,0.000296447,0
39,female,0,0.000296732,0
39,male,0,0.000296447,0
40,female,1.58E-05,0.00031471,0
40,male,1.99E-05,0.000279783,0
41,female,1.58E-05,0.00031471,0
41,male,1.99E-05,0.000279783,0
42,female,1.58E-05,0.00031471,0
42,male,1.99E-05,0.000279783,0
43,female,1.58E-05,0.00031471,0
43,male,1.99E-05,0.000279783,0
44,female,1.58E-05,0.00031471,0
44,male,1.99E-05,0.000279783,0
45,female,1.80E-05,0.000329355,0
45,male,0,0.000251851,0
46,female,1.80E-05,0.000329355,0
46,male,0,0.000251851,0
47,female,1.80E-05,0.000329355,0
47,male,0,0.000251851,0
48,female,1.80E-05,0.000329355,0
48,male,0,0.000251851,0
49,female,1.80E-05,0.000329355,0
49,male,0,0.000251851,0
50,female,2.41E-05,0.000443078,0
50,male,0.000154679,0.000353385,0
51,female,2.41E-05,0.000443078,0
51,male,0.000154679,0.000353385,0
52,female,2.41E-05,0.000443078,0
52,male,0.000154679,0.000353385,0
53,female,2.41E-05,0.000443078,0
53,male,0.000154679,0.000353385,0
54,female,2.41E-05,0.000443078,0
54,male,0.000154679,0.000353385,0
55,female,0,0.000534659,0
55,male,6.63E-05,0.000458664,0
56,female,0,0.000534659,0
56,male,6.63E-05,0.000458664,0
57,female,0,0.000534659,0
57,male,6.63E-05,0.000458664,0
58,female,0,0.000534659,0
58,male,6.63E-05,0.000458664,0
59,female,0,0.000534659,0
59,male,6.63E-05,0.000458664,0
60,female,4.56E-05,0.000597317,0
60,male,0,0.000447437,0
61,female,4.56E-05,0.000597317,0
61,male,0,0.000447437,0
62,female,4.56E-05,0.000597317,0
62,male,0,0.000447437,0
63,female,4.56E-05,0.000597317,0
63,male,0,0.000447437,0
64,female,4.56E-05,0.000597317,0
64,male,0,0.000447437,0
65,female,0,0.000781859,0
65,male,0,0.000642491,0
66,female,0,0.000781859,0
66,male,0,0.000642491,0
67,female,0,0.000781859,0
67,male,0,0.000642491,0
68,female,0,0.000781859,0
68,male,0,0.000642491,0
69,female,0,0.000781859,0
69,male,0,0.000642491,0
70,female,8.80E-05,0.00062761,0
70,male,0.000199656,0.000774982,0
71,female,8.80E-05,0.00062761,0
71,male,0.000199656,0.000774982,0
72,female,8.80E-05,0.00062761,0
72,male,0.000199656,0.000774982,0
73,female,8.80E-05,0.00062761,0
73,male,0.000199656,0.000774982,0
74,female,8.80E-05,0.00062761,0
74,male,0.000199656,0.000774982,0
75,female,0.00083682,0.000772617,0
75,male,0.000744408,0.000924347,0
76,female,0.00083682,0.000772617,0
76,male,0.000744408,0.000924347,0
77,female,0.00083682,0.000772617,0
77,male,0.000744408,0.000924347,0
78,female,0.00083682,0.000772617,0
78,male,0.000744408,0.000924347,0
79,female,0.00083682,0.000772617,0
79,male,0.000744408,0.000924347,0
80,female,0.00108753,0.000827751,0
80,male,0.001746594,0.00116466,0
81,female,0.00108753,0.000827751,0
81,male,0.001746594,0.00116466,0
82,female,0.00108753,0.000827751,0
82,male,0.001746594,0.00116466,0
83,female,0.00108753,0.000827751,0
83,male,0.001746594,0.00116466,0
84,female,0.00108753,0.000827751,0
84,male,0.001746594,0.00116466,0
85,female,0.005424477,0.000947881,0
85,male,0.003125,0.001458921,0
86,female,0.005424477,0.000947881,0
86,male,0.003125,0.001458921,0
87,female,0.005424477,0.000947881,0
87,male,0.003125,0.001458921,0
88,female,0.005424477,0.000947881,0
88,male,0.003125,0.001458921,0
89,female,0.005424477,0.000947881,0
89,male,0.003125,0.001458921,0
90,female,0.005424477,0.000947881,0
90,male,0.003125,0.001458921,0
91,female,0.005424477,0.000947881,0
91,male,0.003125,0.001458921,0
92,female,0.005424477,0.000947881,0
92,male,0.003125,0.001458921,0
93,female,0.005424477,0.000947881,0
93,male,0.003125,0.001458921,0
94,female,0.005424477,0.000947881,0
94,male,0.003125,0.001458921,0
95,female,0.005424477,0.000947881,0
95,male,0.003125,0.001458921,0
96,female,0.005424477,0.000947881,0
96,male,0.003125,0.001458921,0
97,female,0.005424477,0.000947881,0
97,male,0.003125,0.001458921,0
98,female,0.005424477,0.000947881,0
98,male,0.003125,0.001458921,0
99,female,0.005424477,0.000947881,0
99,male,0.003125,0.001458921,0
100,female,0.005424477,0.000947881,0
100,male,0.003125,0.001458921,0
101,female,0.005424477,0.000947881,0
101,male,0.003125,0.001458921,0
102,female,0.005424477,0.000947881,0
102,male,0.003125,0.001458921,0
103,female,0.005424477,0.000947881,0
103,male,0.003125,0.001458921,0
104,female,0.005424477,0.000947881,0
104,male,0.003125,0.001458921,0
105,female,0.005424477,0.000947881,0
105,male,0.003125,0.001458921,0
106,female,0.005424477,0.000947881,0
106,male,0.003125,0.001458921,0
107,female,0.005424477,0.000947881,0
107,male,0.003125,0.001458921,0
108,female,0.005424477,0.000947881,0
108,male,0.003125,0.001458921,0
109,female,0.005424477,0.000947881,0
109,male,0.003125,0.001458921,0
110,female,0.005424477,0.000947881,0
110,male,0.003125,0.001458921,0
