age,sex,excess_mortality,disability_rate,income
0,female,3.21E-05,0.000300602,0
0,male,0.000167292,0.000478792,0
1,female,8.31E-06,0.000255875,0
1,male,4.34E-06,0.000279447,0
2,female,8.31E-06,0.000255875,0
2,male,4.34E-06,0.000279447,0
3,female,8.31E-06,0.000255875,0
3,male,4.34E-06,0.000279447,0
4,female,8.31E-06,0.000255875,0
4,male,4.34E-06,0.000279447,0
5,female,0,9.96E-05,0
5,male,2.96E-06,9.11E-05,0
6,female,0,9.96E-05,0
6,male,2.96E-06,9.11E-05,0
7,female,0,9.96E-05,0
7,male,2.96E-06,9.11E-05,0
8,female,0,9.96E-05,0
8,male,2.96E-06,9.11E-05,0
9,female,0,9.96E-05,0
9,male,2.96E-06,9.11E-05,0
10,female,0,3.73E-05,0
10,male,5.42E-06,9.18E-05,0
11,female,0,3.73E-05,0
11,male,5.42E-06,9.18E-05,0
12,female,0,3.73E-05,0
12,male,5.42E-06,9.18E-05,0
13,female,0,3.73E-05,0
13,male,5.42E-06,9.18E-05,0
14,female,0,3.73E-05,0
14,male,5.42E-06,9.18E-05,0
15,female,0,0.000120128,0
15,male,0,9.29E-05,0
16,female,0,0.000120128,0
16,male,0,9.29E-05,0
17,female,0,0.000120128,0
17,male,0,9.29E-05,0
18,female,0,0.000120128,0
18,male,0,9.29E-05,0
19,female,0,0.000120128,0
19,male,0,9.29E-05,0
20,female,0,0.000133141,0
20,male,0,0.000119483,0
21,female,0,0.000133141,0
21,male,0,0.000119483,0
22,female,0,0.000133141,0
22,male,0,0.000119483,0
23,female,0,0.000133141,0
23,male,0,0.000119483,0
24,female,0,0.000133141,0
24,male,0,0.000119483,0
25,female,0,0.000143319,0
25,male,0,0.000155291,0
26,female,0,0.000143319,0
26,male,0,0.000155291,0
27,female,0,0.000143319,0
27,male,0,0.000155291,0
28,female,0,0.000143319,0
28,male,0,0.000155291,0
29,female,0,0.000143319,0
29,male,0,0.000155291,0
30,female,0,0.000131592,0
30,male,0,0.000118798,0
31,female,0,0.000131592,0
31,male,0,0.000118798,0
32,female,0,0.000131592,0
32,male,0,0.000118798,0
33,female,0,0.000131592,0
33,male,0,0.000118798,0
34,female,0,0.000131592,0
34,male,0,0.000118798,0
35,female,0,0.000136205,0
35,male,2.85E-06,0.000150105,0
36,female,0,0.000136205,0
36,male,2.85E-06,0.000150105,0
37,female,0,0.000136205,0
37,male,2.85E-06,0.000150105,0
38,female,0,0.000136205,0
38,male,2.85E-06,0.000150105,0
39,female,0,0.000136205,0
39,male,2.85E-06,0.000150105,0
40,female,4.63E-06,0.000143097,0
40,male,0,0.000143452,0
41,female,4.63E-06,0.000143097,0
41,male,0,0.000143452,0
42,female,4.63E-06,0.000143097,0
42,male,0,0.000143452,0
43,female,4.63E-06,0.000143097,0
43,male,0,0.000143452,0
44,female,4.63E-06,0.000143097,0
44,male,0,0.000143452,0
45,female,2.43E-06,0.000151433,0
45,male,2.54E-06,0.000130817,0
46,female,2.43E-06,0.000151433,0
46,male,2.54E-06,0.000130817,0
47,female,2.43E-06,0.000151433,0
47,male,2.54E-06,0.000130817,0
48,female,2.43E-06,0.000151433,0
48,male,2.54E-06,0.000130817,0
49,female,2.43E-06,0.000151433,0
49,male,2.54E-06,0.000130817,0
50,female,1.67E-05,0.000203826,0
50,male,1.72E-05,0.000181063,0
51,female,1.67E-05,0.000203826,0
51,male,1.72E-05,0.000181063,0
52,female,1.67E-05,0.000203826,0
52,male,1.72E-05,0.000181063,0
53,female,1.67E-05,0.000203826,0
53,male,1.72E-05,0.000181063,0
54,female,1.67E-05,0.000203826,0
54,male,1.72E-05,0.000181063,0
55,female,2.09E-05,0.000246617,0
55,male,2.02E-05,0.000237007,0
56,female,2.09E-05,0.000246617,0
56,male,2.02E-05,0.000237007,0
57,female,2.09E-05,0.000246617,0
57,male,2.02E-05,0.000237007,0
58,female,2.09E-05,0.000246617,0
58,male,2.02E-05,0.000237007,0
59,female,2.09E-05,0.000246617,0
59,male,2.02E-05,0.000237007,0
60,female,1.17E-05,0.000284674,0
60,male,2.06E-05,0.00023531,0
61,female,1.17E-05,0.000284674,0
61,male,2.06E-05,0.00023531,0
62,female,1.17E-05,0.000284674,0
62,male,2.06E-05,0.00023531,0
63,female,1.17E-05,0.000284674,0
63,male,2.06E-05,0.00023531,0
64,female,1.17E-05,0.000284674,0
64,male,2.06E-05,0.00023531,0
65,female,3.68E-05,0.000372385,0
65,male,4.28E-05,0.00035122,0
66,female,3.68E-05,0.000372385,0
66,male,4.28E-05,0.00035122,0
67,female,3.68E-05,0.000372385,0
67,male,4.28E-05,0.00035122,0
68,female,3.68E-05,0.000372385,0
68,male,4.28E-05,0.00035122,0
69,female,3.68E-05,0.000372385,0
69,male,4.28E-05,0.00035122,0
70,female,8.72E-05,0.000303127,0
70,male,0.000111328,0.000421794,0
71,female,8.72E-05,0.000303127,0
71,male,0.000111328,0.000421794,0
72,female,8.72E-05,0.000303127,0
72,male,0.000111328,0.000421794,0
73,female,8.72E-05,0.000303127,0
73,male,0.000111328,0.000421794,0
74,female,8.72E-05,0.000303127,0
74,male,0.000111328,0.000421794,0
75,female,0.000200738,0.000376349,0
75,male,0.000263096,0.000518567,0
76,female,0.000200738,0.000376349,0
76,male,0.000263096,0.000518567,0
77,female,0.000200738,0.000376349,0
77,male,0.000263096,0.000518567,0
78,female,0.000200738,0.000376349,0
78,male,0.000263096,0.000518567,0
79,female,0.000200738,0.000376349,0
79,male,0.000263096,0.000518567,0
80,female,0.000922634,0.000400807,0
80,male,0.001054206,0.000664243,0
81,female,0.000922634,0.000400807,0
81,male,0.001054206,0.000664243,0
82,female,0.000922634,0.000400807,0
82,male,0.001054206,0.000664243,0
83,female,0.000922634,0.000400807,0
83,male,0.001054206,0.000664243,0
84,female,0.000922634,0.000400807,0
84,male,0.001054206,0.000664243,0
85,female,0.005587462,0.00045857,0
85,male,0.004745711,0.000879565,0
86,female,0.005587462,0.00045857,0
86,male,0.004745711,0.000879565,0
87,female,0.005587462,0.00045857,0
87,male,0.004745711,0.000879565,0
88,female,0.005587462,0.00045857,0
88,male,0.004745711,0.000879565,0
89,female,0.005587462,0.00045857,0
89,male,0.004745711,0.000879565,0
90,female,0.005587462,0.00045857,0
90,male,0.004745711,0.000879565,0
91,female,0.005587462,0.00045857,0
91,male,0.004745711,0.000879565,0
92,female,0.005587462,0.00045857,0
92,male,0.004745711,0.000879565,0
93,female,0.005587462,0.00045857,0
93,male,0.004745711,0.000879565,0
94,female,0.005587462,0.00045857,0
94,male,0.004745711,0.000879565,0
95,female,0.005587462,0.00045857,0
95,male,0.004745711,0.000879565,0
96,female,0.005587462,0.00045857,0
96,male,0.004745711,0.000879565,0
97,female,0.005587462,0.00045857,0
97,male,0.004745711,0.000879565,0
98,female,0.005587462,0.00045857,0
98,male,0.004745711,0.000879565,0
99,female,0.005587462,0.00045857,0
99,male,0.004745711,0.000879565,0
100,female,0.005587462,0.00045857,0
100,male,0.004745711,0.000879565,0
101,female,0.005587462,0.00045857,0
101,male,0.004745711,0.000879565,0
