age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
0,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
1,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
1,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
2,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
2,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
3,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
3,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
4,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
4,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
5,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
5,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
6,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
6,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
7,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
7,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
8,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
8,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
9,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
9,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
10,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
10,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
11,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
11,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
12,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
12,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
13,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
13,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
14,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
