age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
0,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
1,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
1,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
2,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
2,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
3,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
3,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
4,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
4,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
5,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
5,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
6,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
6,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
7,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
7,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
8,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
8,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
9,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
9,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
10,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
10,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
11,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
11,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
12,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
12,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
13,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
13,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
14,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
14,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
15,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
15,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
16,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
16,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
17,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
17,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
18,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
18,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
19,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
19,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
20,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
20,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
21,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
21,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
22,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
22,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
23,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
23,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
24,female,0.0,0.0,0.0,4913.78764710076,3517.2929814638787,2815.1218189163496
24,male,0.0,0.0,0.0,3553.601456273764,3037.4729106463874,2335.3017480988588
25,female,-6828.4938935361215,-6673.991566539924,-14349.74891663498,4913.78764710076,3517.2929814638787,2815.1218189163496
25,male,-8273.33494391635,-9257.948997148289,-23862.52603773764,3553.601456273764,3037.4729106463874,2335.3017480988588
26,female,-6828.4938935361215,-6673.991566539924,-14349.74891663498,4913.78764710076,3517.2929814638787,2815.1218189163496
26,male,-8273.33494391635,-9257.948997148289,-23862.52603773764,3553.601456273764,3037.4729106463874,2335.3017480988588
27,female,-6828.4938935361215,-6673.991566539924,-14349.74891663498,4913.78764710076,3517.2929814638787,2815.1218189163496
27,male,-8273.33494391635,-9257.948997148289,-23862.52603773764,3553.601456273764,3037.4729106463874,2335.3017480988588
28,female,-6828.4938935361215,-6673.991566539924,-14349.74891663498,4913.78764710076,3517.2929814638787,2815.1218189163496
28,male,-8273.33494391635,-9257.948997148289,-23862.52603773764,3553.601456273764,3037.4729106463874,2335.3017480988588
29,female,-6828.4938935361215,-6673.991566539924,-14349.74891663498,4913.78764710076,3517.2929814638787,2815.1218189163496
29,male,-8273.33494391635,-9257.948997148289,-23862.52603773764,3553.601456273764,3037.4729106463874,2335.3017480988588
30,female,-6531.136882129277,-6376.634555133081,-14052.391905228134,5495.220802994297,3139.3258902091247,3253.506780893536
30,male,-3534.061979087453,-4518.676032319392,-19123.253072908745,5171.378794676805,2759.6395551330797,2873.8204458174896
31,female,-6531.136882129277,-6376.634555133081,-14052.391905228134,5495.220802994297,3139.3258902091247,3253.506780893536
31,male,-3534.061979087453,-4518.676032319392,-19123.253072908745,5171.378794676805,2759.6395551330797,2873.8204458174896
32,female,-6531.136882129277,-6376.634555133081,-14052.391905228134,5495.220802994297,3139.3258902091247,3253.506780893536
32,male,-3534.061979087453,-4518.676032319392,-19123.253072908745,5171.378794676805,2759.6395551330797,2873.8204458174896
33,female,-6531.136882129277,-6376.634555133081,-14052.391905228134,5495.220802994297,3139.3258902091247,3253.506780893536
33,male,-3534.061979087453,-4518.676032319392,-19123.253072908745,5171.378794676805,2759.6395551330797,2873.8204458174896
34,female,-6531.136882129277,-6376.634555133081,-14052.391905228134,5495.220802994297,3139.3258902091247,3253.506780893536
34,male,-3534.061979087453,-4518.676032319392,-19123.253072908745,5171.378794676805,2759.6395551330797,2873.8204458174896
35,female,-6475.804813688213,-6321.302486692015,-13997.059836787073,6039.781287785171,2813.780186787072,3834.939936787072
35,male,-893.4616397338402,-1878.07569296578,-16482.652733555133,6604.348528517111,2519.123119771863,3540.282869771863
36,female,-6475.804813688213,-6321.302486692015,-13997.059836787073,6039.781287785171,2813.780186787072,3834.939936787072
36,male,-893.4616397338402,-1878.07569296578,-16482.652733555133,6604.348528517111,2519.123119771863,3540.282869771863
37,female,-6475.804813688213,-6321.302486692015,-13997.059836787073,6039.781287785171,2813.780186787072,3834.939936787072
37,male,-893.4616397338402,-1878.07569296578,-16482.652733555133,6604.348528517111,2519.123119771863,3540.282869771863
38,female,-6475.804813688213,-6321.302486692015,-13997.059836787073,6039.781287785171,2813.780186787072,3834.939936787072
