age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
0,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
1,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
1,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
2,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
2,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
3,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
3,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
4,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
4,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
5,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
5,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
6,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
6,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
7,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
7,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
8,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
8,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
9,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
9,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
10,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
10,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
11,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
11,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
12,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
12,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
13,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
13,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
14,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
14,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
15,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
15,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
16,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
16,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
17,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
17,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
18,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
18,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
19,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
19,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
20,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
20,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
21,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
21,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
22,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
22,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
23,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
23,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
24,female,0.0,0.0,0.0,5901.850842918249,3062.6907079372627,2549.9873224809885
24,male,0.0,0.0,0.0,3448.8541941539916,2582.8706371197723,2070.167251663498
25,female,-7786.912187167299,-7249.647758840303,-22083.25858460076,5901.850842918249,3062.6907079372627,2549.9873224809885
