age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
0,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
1,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
1,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
2,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
2,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
3,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
3,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
4,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
4,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
5,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
5,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
6,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
6,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
7,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
7,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
8,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
8,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
9,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
9,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
10,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
10,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
11,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
11,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
12,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
12,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
13,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
13,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
14,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
14,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
15,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
15,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
